ident;lat;long;y_proj;x_proj
Dia 3; ; ;-1.516416327;20763369.87
Dia 3;-16.32999618;-71.54776076;-1932833.919;2837922.156
Dia 3;-16.33029108;-71.54905098;-1932852.377;2837771.979
Dia 3;-16.33141768;-71.55016147;-1932970.788;2837631.388
Dia 3;-16.33296078;-71.5518049;-1933131.435;2837424.942
Dia 3;-16.33406391;-71.55284445;-1933247.975;2837292.706
Dia 3;-16.33448279;-71.55366631;-1933286.871;2837194.049
Dia 3;-16.33497927;-71.55424953;-1933337.875;2837121.451
Dia 3;-16.33586271;-71.55420894;-1933442.153;2837114.58
Dia 3;-16.33632952;-71.55388164;-1933501.091;2837145.639
Dia 3;-16.33771201;-71.55455478;-1933655.037;2837051.335
Dia 3;-16.33896825;-71.5551088;-1933795.648;2836972.18
Dia 3;-16.33965921;-71.55513255;-1933876.51;2836960.511
Dia 3;-16.33991643;-71.55471968;-1933911.903;2837003.995
Dia 3;-16.33959691;-71.55172907;-1933911.889;2837347.333
Dia 3;-16.33872039;-71.55027555;-1933827.166;2837523.579
Dia 3;-16.33848714;-71.54874756;-1933818.939;2837699.915
Dia 3;-16.33916368;-71.54805619;-1933907.083;2837769.539
Dia 3;-16.33914078;-71.54658989;-1933922.794;2837936.146
Dia 3;-16.33903608;-71.54606027;-1933917.142;2837997.578
Dia 3;-16.33887984;-71.54597893;-1933899.81;2838008.833
Dia 3;-16.33878135;-71.54575573;-1933891.041;2838035.43
Dia 3;-16.33859712;-71.54570169;-1933870.079;2838043.953
Dia 3;-16.33759215;-71.5454797;-1933754.813;2838082.194
Dia 3;-16.33742513;-71.54513913;-1933739.468;2838122.994
Dia 3;-16.33669258;-71.5444375;-1933662.222;2838212.096
Dia 3;-16.33524941;-71.54397492;-1933498.5;2838283.321
Dia 3;-16.33447012;-71.54368791;-1933410.559;2838326.002
Dia 3;-16.33410948;-71.5427307;-1933380.206;2838439.263
Dia 3;-16.33331135;-71.54247667;-1933289.638;2838478.449
Dia 3;-16.33262159;-71.54310767;-1933200.694;2838415.84
Dia 3;-16.33257504;-71.5433572;-1933192.095;2838388.14
Dia 3;-16.33161082;-71.54317799;-1933081.077;2838420.997
Dia 3;-16.33092561;-71.54243631;-1933009.891;2838514.029
Dia 3;-16.33067564;-71.54276559;-1932976.396;2838479.927
Dia 3;-16.33031161;-71.54301985;-1932930.443;2838455.817
Dia 3;-16.33047695;-71.54314881;-1932948.248;2838439.04
Dia 3;-16.32990754;-71.54453485;-1932863.971;2838289.219
Dia 3;-16.32890405;-71.54670662;-1932718.851;2838055.911
