type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,FA1 - Capilla Chachani 1, , ,-1.516416327,20763369.87, , , , , , , , , , 
TRACK,FA1 - Capilla Chachani 1,-16.31836345,-71.54496022,-1931502.553,2838390.89,False, , ,0, , , , , , 
TRACK,FA1 - Capilla Chachani 1,-16.31838896,-71.54511397,-1931503.622,2838373.117,False, , ,0, , , , , , 
TRACK,FA1 - Capilla Chachani 1,-16.31863752,-71.54538416,-1931529.433,2838339.24,False, , ,0, , , , , , 
TRACK,FA1 - Capilla Chachani 1,-16.31919799,-71.54541459,-1931594.89,2838328.513,False, , ,0, , , , , , 
TRACK,FA1 - Capilla Chachani 1,-16.3194257,-71.54534942,-1931622.456,2838332.949,False, , ,0, , , , , , 
TRACK,FA1 - Capilla Chachani 1,-16.31964014,-71.54531277,-1931648.106,2838334.322,False, , ,0, , , , , , 
TRACK,FA1 - Capilla Chachani 1,-16.31979253,-71.54542447,-1931664.607,2838319.673,False, , ,0, , , , , , 
TRACK,FA1 - Capilla Chachani 1,-16.32007106,-71.54573099,-1931693.483,2838281.287,False, , ,0, , , , , , 
TRACK,FA1 - Capilla Chachani 1,-16.32029379,-71.54571635,-1931719.831,2838280.055,False, , ,0, , , , , , 
TRACK,FA1 - Capilla Chachani 1,-16.32048365,-71.54565063,-1931742.957,2838285.045,False, , ,0, , , , , , 
TRACK,FA1 - Capilla Chachani 1,-16.32056313,-71.54572949,-1931751.306,2838275.067,False, , ,0, , , , , , 
TRACK,FA1 - Capilla Chachani 1,-16.32071301,-71.54578106,-1931768.265,2838267.271,False, , ,0, , , , , , 
TRACK,FA1 - Capilla Chachani 1,-16.32067209,-71.54434668,-1931781.443,2838430.514,False, , ,0, , , , , , 
TRACK,FA1 - Capilla Chachani 1,-16.32068112,-71.54305998,-1931798.638,2838576.356,False, , ,0, , , , , , 
TRACK,FA1 - Capilla Chachani 1,-16.3206785,-71.54243798,-1931806.13,2838646.949,False, , ,0, , , , , , 
TRACK,FA1 - Capilla Chachani 1,-16.31986134,-71.54198331,-1931715.837,2838709.137,False, , ,0, , , , , , 
TRACK,FA1 - Capilla Chachani 1,-16.3196989,-71.54204417,-1931695.992,2838704.343,False, , ,0, , , , , , 
TRACK,FA1 - Capilla Chachani 1,-16.31961425,-71.54224016,-1931683.591,2838683.209,False, , ,0, , , , , , 
TRACK,FA1 - Capilla Chachani 1,-16.31914187,-71.54231516,-1931627.158,2838680.835,False, , ,0, , , , , , 
TRACK,FA1 - Capilla Chachani 1,-16.31873561,-71.54224138,-1931580.359,2838694.48,False, , ,0, , , , , , 
