type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.- Sumac Llaqta Zona A, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.- Sumac Llaqta Zona A,-16.28962406120089,-71.55206999529464,-1928037.47137796,2837957.02841924,False, , ,0, , , , , , 
TRACK,1.- Sumac Llaqta Zona A,-16.29012712897645,-71.55183456529141,-1928099.51292187,2837977.22149133,False, , ,0, , , , , , 
TRACK,1.- Sumac Llaqta Zona A,-16.29061167480998,-71.55143292350729,-1928161.45873606,2838016.51168844,False, , ,0, , , , , , 
TRACK,1.- Sumac Llaqta Zona A,-16.29371373816946,-71.55028534148825,-1928540.22312364,2838106.51200093,False, , ,0, , , , , , 
TRACK,1.- Sumac Llaqta Zona A,-16.29361581560351,-71.54987131224688,-1928533.90227909,2838154.75400375,False, , ,0, , , , , , 
TRACK,1.- Sumac Llaqta Zona A,-16.29130593285123,-71.55039551872824,-1928255.99629605,2838125.21438764,False, , ,0, , , , , , 
TRACK,1.- Sumac Llaqta Zona A,-16.29073694261466,-71.55012841523587,-1928192.49886443,2838162.89147723,False, , ,0, , , , , , 
TRACK,1.- Sumac Llaqta Zona A,-16.28944184459464,-71.54949248997401,-1928048.31936677,2838251.82214379,False, , ,0, , , , , , 
TRACK,1.- Sumac Llaqta Zona A,-16.28922616455759,-71.54974635644169,-1928019.8060547,2838225.81386409,False, , ,0, , , , , , 
TRACK,1.- Sumac Llaqta Zona A,-16.28587769314471,-71.54785593346631,-1927650.10659151,2838483.6820867,False, , ,0, , , , , , 
TRACK,1.- Sumac Llaqta Zona A,-16.28279464323887,-71.55359593922319,-1927216.12659096,2837872.35591344,False, , ,0, , , , , , 
TRACK,1.- Sumac Llaqta Zona A,-16.28611088113524,-71.55530063444299,-1927584.363126,2837636.00160275,False, , ,0, , , , , , 
TRACK,1.- Sumac Llaqta Zona A,-16.28678971548809,-71.55488759122336,-1927669.27158387,2837674.07211054,False, , ,0, , , , , , 
