type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,Polígono sin título, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,Polígono sin título,-16.37194777178173,-71.50381029033434,-1938314.87036859,2842361.03478766,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37284977803244,-71.50522242121986,-1938403.05105576,2842189.09094451,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37340635182699,-71.50606416007423,-1938457.83487758,2842086.35356671,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37370272844136,-71.50661236655509,-1938485.74746375,2842020.30629686,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37461925602974,-71.50760115969986,-1938580.96782964,2841896.19309543,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37528190205075,-71.50856402056898,-1938646.68683373,2841778.33625311,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37590495441856,-71.50954582300091,-1938707.51524782,2841658.84908815,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.3763972791138,-71.51038939841833,-1938754.72668276,2841556.74674002,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37661143227561,-71.51079126133469,-1938774.82284858,2841508.37348692,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37686305822355,-71.51126467274409,-1938798.41996079,2841451.39656896,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37754921103268,-71.51179903198239,-1938872.29883389,2841381.83619523,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37802798862288,-71.51172809702121,-1938929.44100137,2841383.63232234,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37874804701479,-71.51238638396643,-1939005.74110298,2841299.5744706,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37912982887223,-71.51191741279044,-1939056.50320898,2841347.77930244,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37980111405182,-71.51107229916269,-1939146.01751539,2841434.86475803,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37786967905198,-71.5092410997855,-1938942.18087644,2841667.7644188,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37745011984097,-71.50972697494294,-1938886.7662319,2841618.13465494,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37644091819489,-71.50874359287744,-1938780.591884,2841742.84092275,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37248234749059,-71.50331697594292,-1938383.89433764,2842410.01063649,False, , ,0, , , , , , 
TRACK,Polígono sin título, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,Polígono sin título,-16.37849872514258,-71.50664896838758,-1939048.75353589,2841953.54551309,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37906211846846,-71.50732803825782,-1939106.38549832,2841869.17109176,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37928781742624,-71.50709642925486,-1939135.82124352,2841892.49275316,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.379386693463,-71.50745923124407,-1939142.86494936,2841850.05379862,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.38064587011396,-71.50740305341688,-1939291.50849758,2841839.98437268,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.38062743433387,-71.50639096588536,-1939302.10031689,2841955.01249367,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.3805818613998,-71.50580883639036,-1939304.08440091,2842021.63098171,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.38029587267947,-71.50588301978225,-1939269.54933089,2842016.95185261,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37969547157621,-71.50606848907672,-1939196.67215059,2842003.75639018,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.3794157853983,-71.50619662262362,-1939162.19756505,2841992.87577254,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37910105360145,-71.50625267813284,-1939124.51416125,2841990.62759128,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37894029445447,-71.50624408474062,-1939105.73540066,2841993.70127101,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37888237109655,-71.50622567683618,-1939099.16219549,2841996.54536351,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37887880289023,-71.5062248235254,-1939098.75373393,2841996.68873427,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37875663525793,-71.50614585964426,-1939085.39595607,2842007.23981234,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37868346978493,-71.50604542315354,-1939078.06593918,2842019.5864729,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37865830231626,-71.50589889241009,-1939076.95607172,2842036.53438358,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37847706651346,-71.5052152162947,-1939064.28088614,2842116.44258126,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37855395131661,-71.50500792410365,-1939075.92687415,2842138.9495726,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37848936201695,-71.50471615565672,-1939072.01629207,2842172.88514429,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37827501241753,-71.50418386334208,-1939053.54265717,2842236.05653427,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37800067357303,-71.50355454592724,-1939029.24410763,2842311.01623164,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37783448508746,-71.50338556327185,-1939011.84902034,2842332.35248995,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37765867948837,-71.50325450045959,-1938992.84598705,2842349.51346219,False, , ,0, , , , , , 
TRACK,Polígono sin título,-16.37742066015125,-71.50318805249508,-1938965.71896099,2842360.15815474,False, , ,0, , , , , , 
