type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime;
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.31058488;-71.58476562;-1930090.537;2833976.678;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.31099146;-71.58554263;-1930128.573;2833883.287;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.31105178;-71.58592521;-1930130.874;2833839.115;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.31123912;-71.58724095;-1930136.427;2833687.462;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.31162758;-71.58732504;-1930180.998;2833672.897;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.31167158;-71.58766184;-1930181.955;2833634.128;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.31248289;-71.58777593;-1930275.811;2833610.685;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.31252342;-71.5879605;-1930278.264;2833589.227;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.31265999;-71.58792486;-1930294.748;2833591.502;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.31272247;-71.59021529;-1930273.452;2833330.926;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.3131069;-71.59022118;-1930318.527;2833325.281;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.3131224;-71.58898445;-1930335.808;2833465.343;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.3131101;-71.58797545;-1930346.978;2833579.937;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.31310887;-71.58731052;-1930355.146;2833655.366;False; ; ;0; ; ; ; ; ; ; 
