type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,Bellavista, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,Bellavista,-16.43090252946089,-71.55206738930885,-1944631.97718507,2836119.46193757,False, , ,0, , , , , , 
TRACK,Bellavista,-16.43154247392188,-71.55169913374557,-1944711.77995627,2836152.84440333,False, , ,0, , , , , , 
TRACK,Bellavista,-16.43227480330078,-71.55212471593335,-1944792.42521151,2836095.03845478,False, , ,0, , , , , , 
TRACK,Bellavista,-16.43273593786236,-71.55198432291338,-1944848.35445412,2836104.92787821,False, , ,0, , , , , , 
TRACK,Bellavista,-16.4327458692877,-71.55314115392298,-1944834.93645486,2835973.67317921,False, , ,0, , , , , , 
TRACK,Bellavista,-16.43354141882973,-71.55292265039991,-1944931.12612189,2835988.04771064,False, , ,0, , , , , , 
TRACK,Bellavista,-16.43364238734354,-71.55259612060792,-1944947.10135888,2836023.74007817,False, , ,0, , , , , , 
TRACK,Bellavista,-16.43441354410121,-71.55226750730313,-1945041.81486738,2836050.91300926,False, , ,0, , , , , , 
TRACK,Bellavista,-16.43470222635496,-71.55195166324033,-1945079.70226095,2836082.94149797,False, , ,0, , , , , , 
TRACK,Bellavista,-16.43466160952819,-71.55188556883846,-1945075.76529588,2836090.96378914,False, , ,0, , , , , , 
TRACK,Bellavista,-16.43481708216221,-71.55161519256991,-1945097.43440177,2836119.57895452,False, , ,0, , , , , , 
TRACK,Bellavista,-16.43598559385201,-71.55167154555787,-1945233.96273665,2836097.92389262,False, , ,0, , , , , , 
TRACK,Bellavista,-16.43644188590342,-71.55124478380937,-1945292.93475186,2836140.33366476,False, , ,0, , , , , , 
TRACK,Bellavista,-16.43670921949417,-71.55001957589785,-1945339.78385423,2836275.71367236,False, , ,0, , , , , , 
TRACK,Bellavista,-16.43671273372592,-71.54910188761417,-1945351.77048772,2836379.68531019,False, , ,0, , , , , , 
TRACK,Bellavista,-16.43644304924604,-71.54852935645371,-1945327.31725364,2836448.1050165,False, , ,0, , , , , , 
TRACK,Bellavista,-16.43575115845399,-71.54829586980605,-1945248.99974924,2836483.61257633,False, , ,0, , , , , , 
TRACK,Bellavista,-16.43560717763659,-71.54882201752278,-1945225.45345806,2836425.85596432,False, , ,0, , , , , , 
TRACK,Bellavista,-16.43603402749572,-71.54947202375864,-1945267.38894645,2836346.60076458,False, , ,0, , , , , , 
TRACK,Bellavista,-16.43623053654247,-71.54985969309956,-1945285.57959206,2836300.09136021,False, , ,0, , , , , , 
TRACK,Bellavista,-16.43618844550197,-71.55005736418528,-1945278.14315073,2836278.23587134,False, , ,0, , , , , , 
TRACK,Bellavista,-16.4356111025359,-71.55033207570551,-1945206.87068976,2836254.64231223,False, , ,0, , , , , , 
TRACK,Bellavista,-16.43515581527337,-71.55038520441745,-1945152.7279093,2836254.56943884,False, , ,0, , , , , , 
