type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1. Cerrillo - Plaza de Characato; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1. Cerrillo - Plaza de Characato;-16.47207621;-71.46963373;-1950511.496;2844924.514;False; ; ;0; ; ; ; ; ; 
TRACK;1. Cerrillo - Plaza de Characato;-16.47193657;-71.46934613;-1950498.739;2844958.956;False; ; ;0; ; ; ; ; ; 
TRACK;1. Cerrillo - Plaza de Characato;-16.47184433;-71.46936255;-1950487.694;2844958.308;False; ; ;0; ; ; ; ; ; 
TRACK;1. Cerrillo - Plaza de Characato;-16.47179022;-71.46936664;-1950481.284;2844958.556;False; ; ;0; ; ; ; ; ; 
TRACK;1. Cerrillo - Plaza de Characato;-16.47172008;-71.46935141;-1950473.236;2844961.205;False; ; ;0; ; ; ; ; ; 
TRACK;1. Cerrillo - Plaza de Characato;-16.47165987;-71.46931552;-1950466.617;2844966.067;False; ; ;0; ; ; ; ; ; 
TRACK;1. Cerrillo - Plaza de Characato;-16.47156241;-71.46927354;-1950455.699;2844972.108;False; ; ;0; ; ; ; ; ; 
TRACK;1. Cerrillo - Plaza de Characato;-16.47140199;-71.46925706;-1950437.059;2844976.086;False; ; ;0; ; ; ; ; ; 
TRACK;1. Cerrillo - Plaza de Characato;-16.47123841;-71.4692752;-1950417.608;2844976.181;False; ; ;0; ; ; ; ; ; 
TRACK;1. Cerrillo - Plaza de Characato;-16.47108779;-71.46981758;-1950393.027;2844916.672;False; ; ;0; ; ; ; ; ; 
TRACK;1. Cerrillo - Plaza de Characato;-16.47122299;-71.46983734;-1950408.662;2844912.653;False; ; ;0; ; ; ; ; ; 
TRACK;1. Cerrillo - Plaza de Characato;-16.47149364;-71.46998587;-1950438.577;2844892.254;False; ; ;0; ; ; ; ; ; 
TRACK;1. Cerrillo - Plaza de Characato;-16.47165213;-71.47037282;-1950452.288;2844846.3;False; ; ;0; ; ; ; ; ; 
TRACK;1. Cerrillo - Plaza de Characato;-16.47170759;-71.47062632;-1950455.586;2844816.83;False; ; ;0; ; ; ; ; ; 
TRACK;1. Cerrillo - Plaza de Characato;-16.47095717;-71.47178427;-1950352.72;2844695.422;False; ; ;0; ; ; ; ; ; 
TRACK;1. Cerrillo - Plaza de Characato;-16.4708441;-71.47178384;-1950339.44;2844696.958;False; ; ;0; ; ; ; ; ; 
TRACK;1. Cerrillo - Plaza de Characato;-16.4708227;-71.47213382;-1950332.484;2844657.561;False; ; ;0; ; ; ; ; ; 
TRACK;1. Cerrillo - Plaza de Characato;-16.47055792;-71.4721647;-1950300.982;2844657.542;False; ; ;0; ; ; ; ; ; 
TRACK;1. Cerrillo - Plaza de Characato;-16.47047334;-71.47241687;-1950287.844;2844630.066;False; ; ;0; ; ; ; ; ; 
TRACK;1. Cerrillo - Plaza de Characato;-16.47036035;-71.47271796;-1950270.748;2844597.417;False; ; ;0; ; ; ; ; ; 
TRACK;1. Cerrillo - Plaza de Characato;-16.47016271;-71.4726482;-1950248.411;2844607.925;False; ; ;0; ; ; ; ; ; 
TRACK;1. Cerrillo - Plaza de Characato;-16.47011072;-71.47287886;-1950239.375;2844582.458;False; ; ;0; ; ; ; ; ; 
TRACK;1. Cerrillo - Plaza de Characato;-16.47030502;-71.47296578;-1950261.103;2844570.049;False; ; ;0; ; ; ; ; ; 
