type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1. Las Dalias al C.S ASA; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.3887328;-71.5277195;-1939985.552;2839430.407;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.38952874;-71.52834779;-1940071.137;2839348.775;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.38996921;-71.52863778;-1940119.227;2839310.145;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.39021649;-71.52865389;-1940148.072;2839305.091;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.39071106;-71.52841225;-1940209.213;2839326.038;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.39101244;-71.52821893;-1940247.051;2839344.027;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.39092744;-71.52802561;-1940239.501;2839367.058;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.39074197;-71.52776784;-1940220.962;2839398.707;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.39071106;-71.52760675;-1940219.36;2839417.379;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.39054879;-71.52723622;-1940204.965;2839461.513;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.39030923;-71.52701873;-1940179.564;2839489.301;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.39013922;-71.5267207;-1940163.347;2839525.315;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.3899924;-71.52645489;-1940149.448;2839557.373;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.38997694;-71.52589105;-1940154.736;2839621.513;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.38991512;-71.52519027;-1940156.302;2839701.787;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.38987648;-71.52500501;-1940154.097;2839723.299;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.38989194;-71.52476336;-1940158.957;2839750.5;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.3897992;-71.52439283;-1940152.731;2839793.728;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.38963692;-71.52423978;-1940135.596;2839813.201;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.38946691;-71.52394894;-1940119.289;2839848.401;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.38917326;-71.52364286;-1940088.649;2839886.943;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.38877601;-71.52337897;-1940045.307;2839922.053;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.38843599;-71.52284736;-1940012.062;2839986.775;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.38819643;-71.52238824;-1939989.704;2840041.967;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.38815006;-71.52204994;-1939988.518;2840080.936;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.38801538;-71.52146166;-1939980.109;2840149.405;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.38782218;-71.52105893;-1939962.487;2840197.597;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.38752852;-71.5208334;-1939930.832;2840227.006;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.38716532;-71.52067231;-1939890.194;2840250.014;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.38689485;-71.52047095;-1939860.957;2840276.38;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.38646208;-71.5201246;-1939814.481;2840321.306;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.38620705;-71.51981852;-1939788.378;2840359.345;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.38578567;-71.51879209;-1939751.808;2840481.247;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.38552275;-71.51797004;-1939731.279;2840577.903;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.38508837;-71.51713609;-1939690.758;2840678.148;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.38444827;-71.51674296;-1939620.513;2840731.088;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.38183142;-71.51857343;-1939290.027;2840557.653;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.38381848;-71.52151432;-1939486.413;2840198.206;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.38522249;-71.52259515;-1939637.734;2840057.314;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.3854988;-71.52440565;-1939647.387;2839848.394;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.3856564;-71.5246918;-1939662.297;2839813.887;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.38684512;-71.52530628;-1939794.199;2839728.695;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.3874029;-71.5262521;-1939847.809;2839614.161;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.38799682;-71.52650256;-1939914.423;2839578.009;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.38853423;-71.52646916;-1939977.975;2839574.784;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.38869425;-71.52698147;-1939990.32;2839514.601;False; ; ;0; ; ; ; ; ; 
TRACK;1. Las Dalias al C.S ASA;-16.38906002;-71.52745805;-1940027.284;2839455.786;False; ; ;0; ; ; ; ; ; 
TRACK;2. Los Andes hasta Av. Leticia; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;2. Los Andes hasta Av. Leticia;-16.38299368;-71.51561369;-1939463.858;2840878.143;False; ; ;0; ; ; ; ; ; 
TRACK;2. Los Andes hasta Av. Leticia;-16.38286712;-71.51567258;-1939448.248;2840873.117;False; ; ;0; ; ; ; ; ; 
TRACK;2. Los Andes hasta Av. Leticia;-16.38326634;-71.51632717;-1939486.9;2840793.669;False; ; ;0; ; ; ; ; ; 
TRACK;2. Los Andes hasta Av. Leticia;-16.38298369;-71.51663155;-1939449.859;2840762.84;False; ; ;0; ; ; ; ; ; 
TRACK;2. Los Andes hasta Av. Leticia;-16.38076809;-71.5179981;-1939172.356;2840636.777;False; ; ;0; ; ; ; ; ; 
TRACK;2. Los Andes hasta Av. Leticia;-16.38125412;-71.51892808;-1939217.738;2840524.966;False; ; ;0; ; ; ; ; ; 
TRACK;2. Los Andes hasta Av. Leticia;-16.3840189;-71.51689707;-1939568.13;2840719.215;False; ; ;0; ; ; ; ; ; 
TRACK;2. Los Andes hasta Av. Leticia;-16.38428566;-71.51661448;-1939603.028;2840747.781;False; ; ;0; ; ; ; ; ; 
TRACK;2. Los Andes hasta Av. Leticia;-16.38353397;-71.51604638;-1939521.88;2840822.02;False; ; ;0; ; ; ; ; ; 
TRACK;3. Los Andes hasta Mexico; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;3. Los Andes hasta Mexico;-16.37958453;-71.51872105;-1939024.206;2840570.231;False; ; ;0; ; ; ; ; ; 
TRACK;3. Los Andes hasta Mexico;-16.37795888;-71.51979783;-1938819.666;2840469.324;False; ; ;0; ; ; ; ; ; 
TRACK;3. Los Andes hasta Mexico;-16.37687453;-71.52099594;-1938677.19;2840347.591;False; ; ;0; ; ; ; ; ; 
TRACK;3. Los Andes hasta Mexico;-16.37695687;-71.52113075;-1938685.166;2840331.228;False; ; ;0; ; ; ; ; ; 
TRACK;3. Los Andes hasta Mexico;-16.37569266;-71.52228794;-1938522.078;2840216.481;False; ; ;0; ; ; ; ; ; 
TRACK;3. Los Andes hasta Mexico;-16.37589582;-71.52272836;-1938540.399;2840163.883;False; ; ;0; ; ; ; ; ; 
TRACK;3. Los Andes hasta Mexico;-16.37601656;-71.52298358;-1938551.37;2840133.364;False; ; ;0; ; ; ; ; ; 
