type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
WAYPOINT,CL01_PP_001,-16.43100143998664,-71.53644798624272,-1944840.58645494,2837888.70781726, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_002,-16.43232505593273,-71.53679274322583,-1944991.70585823,2837832.32110032, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_003,-16.43388888799597,-71.53744012230155,-1945167.22087257,2837738.48844913, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_004,-16.43371932185904,-71.53891112647294,-1945128.74265523,2837573.95709858, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_005,-16.43494561430533,-71.53819323490649,-1945281.83725351,2837639.3010158, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_006,-16.43631657710395,-71.5398489391013,-1945421.97189534,2837433.69283417, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_007,-16.43619646954044,-71.5385158766249,-1945424.68670897,2837586.37178291, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_008,-16.43505513730088,-71.53647337616981,-1945316.40555422,2837832.82600471, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_009,-16.43613691986511,-71.53528859748018,-1945458.42283995,2837952.98163643, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_010,-16.43725457175796,-71.53711898803218,-1945566.59715916,2837730.87895181, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_011,-16.43589630341248,-71.53202841457744,-1945471.31338567,2838325.69690346, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_012,-16.43849012756187,-71.53414921323298,-1945749.20973456,2838051.35840137, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,CL01_PP_013,-16.43978384399353,-71.53397881266839,-1945903.31923812,2838053.75011947, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
