ident;lat;long;y_proj;x_proj
CL06_PP_001;-16.3661526;-71.53065853;-1937296.02;2839391.526
CL06_PP_002;-16.36461498;-71.52847533;-1937142.854;2839659.164
CL06_PP_003;-16.36362257;-71.52830143;-1937028.458;2839691.817
CL06_PP_004;-16.36283685;-71.52673261;-1936955.89;2839879.984
CL06_PP_005;-16.36169941;-71.52619691;-1936829.006;2839955.562
CL06_PP_006;-16.3603869;-71.52581098;-1936679.672;2840016.433
CL06_PP_007;-16.35815562;-71.52459815;-1936432.802;2840183.063
CL06_PP_008;-16.35705734;-71.52960515;-1936240.815;2839629.471
CL06_PP_009;-16.35442864;-71.528895;-1935940.935;2839744.249
CL06_PP_010;-16.35410793;-71.52332217;-1935973.333;2840380.517
CL06_PP_011;-16.35204195;-71.52403864;-1935721.613;2840326.158
CL06_PP_012;-16.35128514;-71.52208712;-1935657.243;2840557.371
CL06_PP_013;-16.34976323;-71.52314418;-1935465.157;2840457.291
CL06_PP_014;-16.34949185;-71.52172486;-1935451.12;2840621.818
CL06_PP_015;-16.3475666;-71.52231982;-1935217.459;2840579.401
CL06_PP_016;-16.34941934;-71.52710455;-1935374.968;2840012.552
CL06_PP_017;-16.34664073;-71.52756552;-1935042.75;2839996.437
CL06_PP_018;-16.34351376;-71.52720842;-1934679.886;2840077.642
CL06_PP_019;-16.34500263;-71.52475091;-1934885.682;2840337.021
CL06_PP_020;-16.34366477;-71.52098749;-1934775.814;2840781.334
CL06_PP_021;-16.34751641;-71.51977891;-1935243.51;2840868.276
CL06_PP_022;-16.34968787;-71.51871745;-1935511.968;2840960.397
CL06_PP_023;-16.34973188;-71.5178504;-1935528.043;2841058.175
CL06_PP_024;-16.35306283;-71.5173145;-1935926.116;2841075.569
CL06_PP_025;-16.35283039;-71.51900168;-1935877.585;2840887.221
CL06_PP_026;-16.35444595;-71.52014087;-1936053.056;2840736.957
CL06_PP_027;-16.35988383;-71.52294397;-1936656.637;2840348.167
CL06_PP_028;-16.35855411;-71.51956506;-1936542.931;2840748.741
CL06_PP_029;-16.3567174;-71.52026134;-1936318.393;2840693.698
CL06_PP_030;-16.35709748;-71.51724625;-1936400.979;2841030.737
CL06_PP_031;-16.35778201;-71.51591112;-1936498.2;2841173.255
CL06_PP_032;-16.35696415;-71.51525064;-1936410.425;2841258.832
CL06_PP_033;-16.35497731;-71.51226387;-1936214.586;2841623.518
CL06_PP_034;-16.35486782;-71.50980162;-1936232.71;2841904.247
CL06_PP_035;-16.35378762;-71.50657846;-1936146.368;2842283.949
CL06_PP_036;-16.35238431;-71.50730117;-1935972.396;2842220.261
CL06_PP_037;-16.35320167;-71.50980975;-1936036.854;2841925.043
CL06_PP_038;-16.35119978;-71.51234828;-1935769.713;2841663.176
CL06_PP_039;-16.35012336;-71.50939797;-1935680.369;2842011.876
CL06_PP_040;-16.34735521;-71.51307132;-1935308.93;2841631.251
CL06_PP_041;-16.34881518;-71.51433302;-1935464.586;2841469.108
CL06_PP_042;-16.3511721;-71.51609679;-1935719.303;2841238.33
CL06_PP_043;-16.3469713;-71.5158929;-1935228.337;2841316.182
CL06_PP_044;-16.34486748;-71.51408095;-1935003.954;2841549.127
CL06_PP_045;-16.34486207;-71.51037733;-1935049.902;2841969.336
CL06_PP_046;-16.34278301;-71.51512173;-1934745.968;2841458.211
CL06_PP_047;-16.33995518;-71.51568569;-1934406.645;2841431.058
CL06_PP_048;-16.34127172;-71.51267847;-1934599.133;2841755.058
CL06_PP_049;-16.33786325;-71.51321844;-1934191.888;2841738.188
CL06_PP_050;-16.33575259;-71.51162309;-1933963.964;2841946.654
CL06_PP_051;-16.33881081;-71.51114302;-1934329.31;2841961.294
CL06_PP_052;-16.35192876;-71.52907739;-1935644.967;2839756.111
CL06_PP_053;-16.3554501;-71.52716944;-1936082.629;2839926.663
CL06_PP_054;-16.35184086;-71.51137732;-1935857.25;2841764.963
CL06_PP_055;-16.342558;-71.52126639;-1934642.282;2840764.106
CL06_PP_056;-16.34687237;-71.52593666;-1935090.434;2840178.182
CL06_PP_057;-16.36046807;-71.52423003;-1936709.095;2840194.688
CL06_PP_058;-16.34496853;-71.51616098;-1934989.669;2841311.857
CL06_PP_059;-16.35785893;-71.51464521;-1936523.167;2841315.843
CL06_PP_060;-16.3562642;-71.51606665;-1936317.924;2841175.396
CL06_PP_061;-16.36439442;-71.52888973;-1937111.731;2839615.039
CL06_PP_062;-16.35742691;-71.52678652;-1936319.672;2839944.348
