"ident","lat","long","y_proj","x_proj"
"CL31_PP_001","-16.46440822901036","-71.49319576560102","-1949311.77894832","2842354.12494326"
"CL31_PP_002","-16.46866147548917","-71.49407332106719","-1949800.33473429","2842198.78787279"
"CL31_PP_003","-16.47131936252703","-71.49009133040927","-1950163.06123999","2842615.26857973"
"CL31_PP_004","-16.47175015878648","-71.48685635211197","-1950254.68945677","2842976.32661677"
"CL31_PP_005","-16.46566342464689","-71.48765996721293","-1949529.40103187","2842965.20024184"
"CL31_PP_006","-16.4682674066423","-71.4853943250248","-1949864.05454629","2843187.83324344"
"CL31_PP_007","-16.46874121761839","-71.48432931628271","-1949933.22500501","2843302.34185095"
"CL31_PP_008","-16.46926819318086","-71.48136080149436","-1950032.78345453","2843631.94474144"
"CL31_PP_009","-16.4733300997944","-71.4775257041064","-1950558.66606853","2844013.31480027"
"CL31_PP_010","-16.4799325814625","-71.46939902294919","-1951437.56556696","2844847.74853434"
"CL31_PP_011","-16.47738932402405","-71.47011031292845","-1951129.71388976","2844800.5801571"
"CL31_PP_012","-16.47238062791882","-71.46836760490324","-1950563.33614973","2845064.05227457"
"CL31_PP_013","-16.47945340094341","-71.45811179483483","-1951524.63702206","2846133.69320168"
"CL31_PP_014","-16.47995848619665","-71.46279081066183","-1951524.53925417","2845596.57126748"
"CL31_PP_015","-16.48360987645063","-71.46748944961898","-1951893.88319573","2845015.82420239"
"CL31_PP_016","-16.48697941947191","-71.46401370949725","-1952333.95130002","2845365.48150062"
"CL31_PP_017","-16.48759425857213","-71.46665053539066","-1952372.68853017","2845058.4642863"
"CL31_PP_018","-16.48691057731224","-71.46984592239687","-1952251.7649171","2844705.2319349"
"CL31_PP_019","-16.48729169709006","-71.47543782427695","-1952225.52124135","2844066.32228063"
"CL31_PP_020","-16.49073165880682","-71.48318677563886","-1952531.28105234","2843142.68151119"
"CL31_PP_021","-16.48642256788519","-71.48398375402459","-1952014.91388487","2843109.03753744"
"CL31_PP_022","-16.48536186260956","-71.48481244345517","-1951879.78043501","2843029.05638544"
"CL31_PP_023","-16.48595631788007","-71.48996761219037","-1951884.20297061","2842436.89644029"
"CL31_PP_024","-16.48771952414332","-71.48961759053769","-1952095.78636417","2842453.38297092"
"CL31_PP_025","-16.4904872324276","-71.486976051646","-1952454.46316182","2842716.38900805"
"CL31_PP_026","-16.4896956199098","-71.49130934118786","-1952306.47066873","2842235.63980623"
"CL31_PP_027","-16.48274243497071","-71.48264575769824","-1951599.53435205","2843309.11360304"
"CL31_PP_028","-16.48177341955822","-71.48527255040732","-1951452.35687075","2843024.09678387"
"CL31_PP_029","-16.48236164745964","-71.48888427167982","-1951475.64130705","2842606.96056219"
"CL31_PP_030","-16.4789386097026","-71.48212792911328","-1951159.20806415","2843417.84098566"
"CL31_PP_031","-16.47650116779377","-71.48454364619793","-1950842.19429899","2843176.04681195"
"CL31_PP_032","-16.47807975156984","-71.48663257014329","-1951001.15577751","2842918.4970209"
"CL31_PP_033","-16.47680963736338","-71.48989463231075","-1950810.56565986","2842565.41751583"
"CL31_PP_034","-16.47707885721039","-71.49265513177434","-1950807.18885665","2842248.96379058"
"CL31_PP_035","-16.47917180045806","-71.49287851234173","-1951050.23495039","2842196.1372768"
"CL31_PP_036","-16.47959832949601","-71.49725588734024","-1951044.83953781","2841694.35477514"
"CL31_PP_037","-16.48016221632662","-71.49541885852162","-1951134.37503714","2841895.17069883"
"CL31_PP_038","-16.48164417266523","-71.49309739691141","-1951337.91174027","2842138.83044021"
"CL31_PP_039","-16.48232989834159","-71.49587359979253","-1951383.26245024","2841815.13801183"
"CL31_PP_040","-16.4825534650161","-71.49789294071216","-1951383.92043055","2841583.31363656"
"CL31_PP_041","-16.48436401619574","-71.49982599806305","-1951572.10453934","2841340.41781702"
"CL31_PP_042","-16.4912159048209","-71.50214539173614","-1952347.60332047","2840987.48063469"
"CL31_PP_043","-16.49329082588469","-71.50112966691277","-1952604.23059505","2841075.32216354"
