n_microred;microred;cluster;point_name;code_point;lat;long;y_proj;x_proj;type_point;estratategy
9;YANAHUARA;10; Estadio_Magnopata;CL10_PP_001;-16.381737;-71.536586;-1939052133;2838516217;Mobile;Propuesto
9;YANAHUARA;10; Parque Urb. San Jose;CL10_PP_002;-16.383092;-71.537979;-1939193768;2838340592;Fixed;Establecido
9;YANAHUARA;10; Ie_Antonio_Jose_De_Sucre;CL10_PP_003;-16.384508;-71.540975;-1939322395;2837982407;Fixed;Propuesto
9;YANAHUARA;10; Parque_Privado_La Rinconada;CL10_PP_004;-16.383447;-71.543181;-1939170011;2837746095;Fixed;Propuesto
9;YANAHUARA;10; Plaza Yanahuara;CL10_PP_005;-16.387331;-71.542291;-1939637.43;2837796385;Fixed;Establecido
9;YANAHUARA;10; Parque_Mariano_Prado;CL10_PP_006;-16.387985;-71.538409;-1939763.11;2838228037;Mobile;Propuesto
9;YANAHUARA;10; Parque_Residencial_Ibarguen;CL10_PP_007;-16.389703;-71.542253;-1939916527;2837769769;Mobile;Propuesto
9;YANAHUARA;10; Comisaria_Yanahuara;CL10_PP_008;-16.391418;-71.543398;-1940103.56;2837617581;Fixed;Propuesto
9;YANAHUARA;10; Iglesia_Yanahuara_2;CL10_PP_009;-16.392176;-71.541589;-1940215366;2837812811;Fixed;Propuesto
9;YANAHUARA;10; Ovalo_Grau;CL10_PP_010;-16.392527;-71.539545;-1940282327;2838039995;Fixed;Propuesto
9;YANAHUARA;10; Iglesia_De_La_Recoleta;CL10_PP_011;-16.393412;-71.541672;-1940359503;2837787281;Fixed;Propuesto
9;YANAHUARA;10; Complejo Antiquilla;CL10_PP_012;-16.393197;-71.545708;-1940283446;2837332469;Fixed;Establecido
9;YANAHUARA;10; Parque_Santa_Cecilia;CL10_PP_013;-16.393466;-71.546342;-1940307063;2837257078;Fixed;Propuesto
9;YANAHUARA;10; Colegio_Santa_Rosa_De_Viterbo;CL10_PP_014;-16.396431;-71.543346;-1940693041;2837558104;Fixed;Propuesto
