n_microred;microred;cluster;code_point;point_name;lat;long;y_proj;x_proj;type_point;estratategy
20;MARITZA CAMPOS;23;CL23_PP_001; IEP_San_Francisco;-16.320817;-71.566451;-1931521479;2835921346;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_002; Cancha_De_Tierra_Hernan_Bedoya;-16.318694;-71.566546;-1931270.93;2835938101;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_003; Losa_Deportiva_Flora_Tristan;-16.319727;-71.560108;-1931472895;2836654939;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_004; Parque_Flora_Tristan;-16.317906;-71.559295;-1931269183;2836770778;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_005; Cancha_De_Tierra_Pedro_P_Diaz;-16.317537;-71.557741;-1931245306;2836951835;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_006; Parque_Pedro_P_Diaz;-16.317609;-71.555292;-1931284444;2837228694;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_007; Losa_Deportiva;-16.317564;-71.55181;-1931322788;2837624253;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_008; Parque_Jose_Maria_Arguedas;-16.319673;-71.549571;-1931598586;2837850861;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_009; Colegio_Jose_Maria_Arguedas;-16.31685;-71.549766;-1931264531;2837865.38;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_010; Cancha_Sintetica_La_Revancha;-16.315107;-71.546742;-1931097682;2838231037;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_011; Colegio_Talents_School;-16.315734;-71.55094;-1931118725;2837746688;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_012; Colegio_Internacional_Johannes_Kepler;-16.315708;-71.552715;-1931093.43;2837545677;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_013; Losa_Deportiva_Pedro_P_Diaz;-16.314364;-71.554356;-1930914998;2837376966;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_014; Parque_De_La_Familia;-16.313211;-71.556247;-1930755874;2837177417;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_015; Iglesia_Las_Asambleas_De_Dios;-16.313518;-71.552791;-1930835227;2837565468;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_016; Losa_Deportiva_Villa_Cerrillos;-16.31402;-71.550997;-1930916672;2837762462;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_017; Plaza_Civica_Villa_Cerrillos;-16.31383;-71.548993;-1930919464;2837992257;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_018; Losa_Deportiva_Villa_Cerrillos_II;-16.312252;-71.547065;-1930758256;2838231446;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_019; Losa_Deportiva_Villa_Cerrillos_III;-16.311268;-71.549484;-1930612357;2837969.8;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_020; Losa_Deportiva_Los_Monteros_I;-16.311476;-71.55202;-1930605019;2837679419;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_021; Parque_Pirotecnico_De_Cerro;-16.310819;-71.558694;-1930444256;2836930862;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_022; Losa_Deportiva_La_Fortaleza;-16.309445;-71.554627;-1930333791;2837410027;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_023; Losa_Deportiva_Los_Angeles;-16.308498;-71.552034;-1930255026;2837716458;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_024; Terminal_Los_Canarios;-16.306573;-71.551644;-1930033785;2837785665;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_025; Losa_Deportiva;-16.308073;-71.547534;-1930261471;2838232462;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_026; Losa_Deportiva_Villa_Progreso;-16.310106;-71.547757;-1930497494;2838180789;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_027; IASD_Tres_Angeles;-16.307612;-71.544942;-1930239791;2838532493;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_028; Parque_Fundo_Cabrerias;-16.302952;-71.545321;-1929687.62;2838549947;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_029; Losa_Deportiva_Independencia;-16.297745;-71.546495;-1929061236;2838484.28;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_030; Losa_Deportiva_Villa_Real;-16.293127;-71.545264;-1928534155;2838683812;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_031; Losa_Deportiva_Independencia_II;-16.292849;-71.548165;-1928465181;2838358.28;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_032; Losa_Deportiva_Independencia_B;-16.289053;-71.54657;-1928039216;2838588.44;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_033; Losa_Deportiva_28_De_Julio;-16.288542;-71.554921;-1927874693;2837647586;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_034; Asociacion_De_Vivienda_Emprendedores;-16.296997;-71.535738;-1929108.1;2839714.43;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_035; Cancha_De_Tierra;-16.301712;-71.534755;-1929674337;2839764782;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_036; Losa_Deportiva_Chachami_II;-16.310593;-71.543469;-1930608436;2838660917;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_037; Punto 1 (Referencial);-16.314125;-71.545135;-1931002467;2838426081;Fixed;Establecido
20;MARITZA CAMPOS;23;CL23_PP_038; Punto 2 (Referencial);-16.312483;-71.542788;-1930838995;2838713643;Fixed;Establecido
20;MARITZA CAMPOS;23;CL23_PP_039; Punto 3 (Referencial);-16.312156;-71.540851;-1930824861;2838937.63;Fixed;Establecido
20;MARITZA CAMPOS;23;CL23_PP_040; Punto 4 (Referencial);-16.314173;-71.540872;-1931061544;2838909064;Fixed;Establecido
20;MARITZA CAMPOS;23;CL23_PP_041; Punto 5 (Referencial);-16.315638;-71.543282;-1931203429;2838616648;Fixed;Establecido
20;MARITZA CAMPOS;23;CL23_PP_042; Complejo_Chachani_1;-16.316763;-71.543538;-1931332376;2838573003;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_043; Punto 6 (Referencial);-16.318003;-71.542816;-1931487093;2838638808;Fixed;Establecido
20;MARITZA CAMPOS;23;CL23_PP_044; Loza Deportiva;-16.287831;-71.542873;-1927941936;2839023.74;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_045; Loza Deportiva;-16.293957;-71.533271;-1928781865;2840033778;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_046; Loza Deportiva Jardines De Chachani;-16.311763;-71.542416;-1930759077;2838765189;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_047; Mercado El Progreso Villa Fontana;-16.318317;-71.554482;-1931377757;2837311388;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_048; Mercado Central Villa Cerrillos;-16.312526;-71.549213;-1930763528;2837984221;Fixed;Propuesto
20;MARITZA CAMPOS;23;CL23_PP_049; I.E Las Abejitas;-16.318253;-71.567167;-1931211356;2835873383;Fixed;Propuesto
