cluster;name_point;code_point;lat;long;y_proj;x_proj
1; Interseccion Calle Jorge Chavez Con Av. Salaverry;CL01_PP_001;-16.431001;-71.536448;-1944840535;2837888712
1; Interssecion Calle Sanchez Trujillo Con Av. Salaverry;CL01_PP_002;-16.432325;-71.536793;-1944991696;2837832293
1; El Mirador De Salaverry Av. Salaverry Con Fernandini;CL01_PP_003;-16.433889;-71.53744;-1945167236;2837738501
1; Interseccion Calle Fernandini Con Calle Sanchez Trujillo;CL01_PP_004;-16.433719;-71.538911;-1945128706;2837573976
1; Interseccion Sanchez Cerro Con Av. Salaverry (Parque);CL01_PP_005;-16.434946;-71.538193;-1945281886;2837639323
1; Interseccion Calle Sanchez Trujillo Con Calle Miguel Grau;CL01_PP_006;-16.436317;-71.539849;-1945422021;2837433.68
1; Cancha_Mariscal_Castilla;CL01_PP_007;-16.436196;-71.538516;-1945424.63;2837586364
1; Puesto De Salud Salaverry/ Av. Las Pe�as;CL01_PP_008;-16.435055;-71.536473;-1945316394;2837832.87
1; El Porvenir Interseccion Condesuyos Con Calle Camana;CL01_PP_009;-16.436137;-71.535289;-1945458427;2837952935
1; Capilla_Santisima_Virgen_De_Chapi;CL01_PP_010;-16.437255;-71.537119;-1945566647;2837730872
1; Interseccion Calle Chiclayo Con Calle Abancay;CL01_PP_011;-16.435896;-71.532028;-1945471283;2838325748
1; Interseccion Calle Los Alamos Con Calle Los Geranios;CL01_PP_012;-16.43849;-71.534149;-1945749197;2838051384
1; Campo Deportivo La Bombonera (Calle Camana Con Chachapoyas;CL01_PP_013;-16.439784;-71.533979;-1945903335;2838053727
1; Centro De Salud San Martin;CL01_PP_014;-16.439008;-71.530141;-1945860646;2838498942
1; Parque De La Familia (Calle Chimbote);CL01_PP_015;-16.439739;-71.530936;-1945936471;2838399258
1; Interseccion Calle Mollendo Con Calle Nazca;CL01_PP_016;-16.44143;-71.533794;-1946099008;2838053163
1; Interseccion Calle Talara Con Calle Zarumilla;CL01_PP_017;-16.443667;-71.535574;-1946339285;2837822127
1; Villa Olimpica San Martin De Socabaya (Calle Ferre�afe);CL01_PP_018;-16.443178;-71.531945;-1946327675;2838239881
1; Venta De Gas (Calle Huancayo);CL01_PP_019;-16.441717;-71.527967;-1946206306;2838709931
1; Calle Lircay Con Calle Huacho;CL01_PP_020;-16.443378;-71.526584;-1946418882;2838844962
1; Trebol De Santa Clara;CL01_PP_021;-16.444719;-71.526181;-1946581491;2838873.09
1; Esq. Agustin Gamarra/ Garcilazo De La Vega;CL01_PP_022;-16.445885;-71.52686;-1946709874;2838780856
1; Parque Alto Alianza;CL01_PP_023;-16.44534;-71.524158;-1946679996;2839094.28
1; Parque Chavez Castillo;CL01_PP_024;-16.443918;-71.52295;-1946528226;2839249836
1; Colegio Belgica;CL01_PP_025;-16.444206;-71.521541;-1946579861;2839405788
1; Parque_Comite_7;CL01_PP_026;-16.444232;-71.519368;-1946610377;2839651.78
1; Parque_Corazon_De_Jesus_1;CL01_PP_027;-16.44548;-71.522314;-1946719744;2839301478
1; Parque La Union;CL01_PP_028;-16.447125;-71.519913;-1946943321;2839552108
1; Parque Corazon De Jesus;CL01_PP_029;-16.446664;-71.522995;-1946850216;2839208777
1; Parque Jesus Nazareno;CL01_PP_030;-16.448749;-71.52232;-1947103662;2839257986
