cluster,name_point,code_point,lat,long,y_proj,x_proj
2, C.S. Upis Paisajista,CL02_PP_001,-16.461601,-71.555248,-1948197221,2835357671
2, Iglesia_Upis_Paisajista,CL02_PP_002,-16.46034,-71.554306,-1948061019,2835480922
2, Grifo Upis Paisajista,CL02_PP_003,-16.460295,-71.556392,-1948029402,2835245112
2, Upis Paisajista Mz J D,CL02_PP_004,-16.459189,-71.556013,-1947904296,2835302.53
2, Losa_Deportiva_Tirso_Borja_Vizcarra,CL02_PP_005,-16.45809,-71.554802,-1947790514,2835454145
2, Cesma,CL02_PP_006,-16.457855,-71.554291,-1947769365,2835515.13
2, Calle Tiabaya Con Calle La Joya,CL02_PP_007,-16.456685,-71.551028,-1947673146,2835900232
2, Av. Jose Maria Arguedas Con Av. Dean Valdivia,CL02_PP_008,-16.456529,-71.554152,-1947615391,2835548227
2, Parque Arias Araquez,CL02_PP_009,-16.456691,-71.55568,-1947615131,2835372942
2, Campinha Ecologica 2,CL02_PP_010,-16.456861,-71.558069,-1947604947,2835099978
2, Loza Deportiva Campinha Ecologica,CL02_PP_011,-16.45584,-71.559544,-1947466429,2834946172
2, Loza Deportiva Buen Panorama,CL02_PP_012,-16.454562,-71.56066,-1947302262,2834836409
2, El_Mollecito,CL02_PP_013,-16.452072,-71.564318,-1946963701,2834454407
2, Parroquia_Virgen_De_La_Candelaria,CL02_PP_014,-16.451427,-71.564135,-1946890262,2834483575
2, Loza Deportiva Huasacache,CL02_PP_015,-16.452172,-71.562585,-1946997302,2834649496
2, Mirador Buen Panorama,CL02_PP_016,-16.453367,-71.560158,-1947168255,2834908922
2, Ampl_13_De_Agosto,CL02_PP_017,-16.453619,-71.559249,-1947209318,2835008643
2, Complejo 13 De Agosto,CL02_PP_018,-16.454165,-71.558399,-1947284164,2835097833
2, Estadio 2 De Junio,CL02_PP_019,-16.452947,-71.557559,-1947151.72,2835208955
2, Cementerio_De_Hunter,CL02_PP_020,-16.453832,-71.556532,-1947268614,2835313774
2, Loza Deportiva Leones Del Sur,CL02_PP_021,-16.45288,-71.555649,-1947167951,2835426293
2, Av. Velasco Alvarado Con Av. Dean Valdivia,CL02_PP_022,-16.455198,-71.555941,-1947436497,2835362889
2, Local_Social_Arias_Araguez,CL02_PP_023,-16.454774,-71.554692,-1947402464,2835509983
2, Iglesia_Jesus_El_Buen_Pastor,CL02_PP_024,-16.45488,-71.554052,-1947422.99,2835581128
2, Loza Deportiva Alto Alianza,CL02_PP_025,-16.455271,-71.552872,-1947483803,2835709745
2, Calle Revolucion Con Calle 8 De Diciembre,CL02_PP_026,-16.452917,-71.553347,-1947201346,2835686.7
2, Estadio_Juan_Velasco_Alvarado,CL02_PP_027,-16.451871,-71.554302,-1947066449,2835592146
2, Triangulo Pampas Del Cusco,CL02_PP_028,-16.451238,-71.556245,-1946967591,2835380217
2, Av_Sacsayhuaman,CL02_PP_029,-16.450398,-71.557096,-1946858204,2835294753
2, Exparadero La Merced,CL02_PP_030,-16.450801,-71.559422,-1946876.19,2835025876
2, 13 De Agosto_ Upis La Merced Y Ampliacion Upis La Merced,CL02_PP_031,-16.4511,-71.560137,-1946902285,2834940936
2, Loza Deportiva La Merced,CL02_PP_032,-16.4493,-71.561078,-1946679026,2834857819
2, Ampl_Pampas_Del_Cuzco,CL02_PP_033,-16.447537,-71.564217,-1946432398,2834525114
2, Capilla_De_Pampas_Del_Cusco,CL02_PP_034,-16.44814,-71.565866,-1946482422,2834330355
2, Plazoleta_De_Pampas_Del_Cusco,CL02_PP_035,-16.447945,-71.56615,-1946455941,2834300718
2, Losa_Deportiva_Pampas_Del_Cuzco,CL02_PP_036,-16.446557,-71.565296,-1946303706,2834415634
