cluster;name_point;code_point;lat;long;y_proj;x_proj;;;;;;;;
32; Losa Deportiva;CL32_PP_001;-16.325552;-71.646299;-1931079.722;2826805.688;; ; ; ; ; ; ; 
32; Cancha Deportiva Sector 45 Y 46;CL32_PP_002;-16.330352;-71.64854;-1931615.303;2826489.65;; ; ; ; ; ; ; 
32; Plaza Jardines Del Colca;CL32_PP_003;-16.333899;-71.652604;-1931981.036;2825983.145;; ; ; ; ; ; ; 
32; Asoc. Villa Tamboloza Deportiva;CL32_PP_004;-16.337748;-71.644546;-1932533.423;2826846.866;; ; ; ; ; ; ; 
32; Losa Deportiva;CL32_PP_005;-16.344454;-71.645524;-1933308.507;2826649.324;; ; ; ; ; ; ; 
32; Losa Deportiva;CL32_PP_006;-16.350671;-71.640766;-1934097.797;2827108.264;; ; ; ; ; ; ; 
32; Asoc. Amivifnueva Vida (Movil);CL32_PP_007;-16.355525;-71.639009;-1934689.615;2827244.62;; ; ; ; ; ; ; 
32; Cancha De Tierra;CL32_PP_008;-16.368053;-71.645612;-1936077.883;2826334.06;; ; ; ; ; ; ; 
32; Losa Deportiva Amifiv;CL32_PP_009;-16.370805;-71.654298;-1936292.412;2825314.029;; ; ; ; ; ; ; 
32; Losa Deportiva;CL32_PP_010;-16.361474;-71.656178;-1935173.565;2825221.677;; ; ; ; ; ; ; 
32; Losa Deportiva Amifiv;CL32_PP_011;-16.35689;-71.651469;-1934694.237;2825814.67;; ; ; ; ; ; ; 
32; Losa Deportiva;CL32_PP_012;-16.345776;-71.659949;-1933283.715;2824997.175;; ; ; ; ; ; ; 
32; Plaza Jardines Del Colca;CL32_PP_013;-16.342439;-71.651881;-1932992.619;2825954.78;; ; ; ; ; ; ; 
32; La Tiendita;CL32_PP_014;-16.341124;-71.650959;-1932849.746;2826076.283;; ; ; ; ; ; ; 
32; Tianfu Sac;CL32_PP_015;-16.339738;-71.648119;-1932722.466;2826416.121;; ; ; ; ; ; ; 
32; Asoc. Jardin Del Colcaparte Baja (Movil);CL32_PP_016;-16.338807;-71.654448;-1932534.218;2825710.727;; ; ; ; ; ; ; 
32; Losa Deportiva;CL32_PP_017;-16.313058;-71.666871;-1929356.691;2824634.703;; ; ; ; ; ; ; 
32; Losa Deportiva;CL32_PP_018;-16.311159;-71.675267;-1929029.303;2823707.383;; ; ; ; ; ; ; 
32; Losa Deportiva;CL32_PP_019;-16.306235;-71.669721;-1928520.274;2824399.524;; ; ; ; ; ; ; 
32; Losa Deportiva;CL32_PP_020;-16.307086;-71.666097;-1928665.261;2824799.406;; ; ; ; ; ; ; 
32; Losa Deportiva;CL32_PP_021;-16.295578;-71.658679;-1927406.566;2825788.682;; ; ; ; ; ; ; 
32; Losa Deportiva Nueva Yura;CL32_PP_022;-16.292937;-71.65564;-1927134.32;2826167.276;; ; ; ; ; ; ; 
32; Losa Deportiva;CL32_PP_023;-16.289391;-71.653613;-1926743.228;2826442.789;; ; ; ; ; ; ; 
32; Granja De Liebres;CL32_PP_024;-16.289482;-71.651832;-1926776.069;2826643.565;; ; ; ; ; ; ; 
32; Losa Deportiva;CL32_PP_025;-16.286153;-71.651108;-1926394.235;2826768.541;; ; ; ; ; ; ; 
32; Losa Deportiva La Pascana;CL32_PP_026;-16.28599;-71.657214;-1926299.155;2826078.268;; ; ; ; ; ; ; 
32; Local Social Yura;CL32_PP_027;-16.297051;-71.65918;-1927573.261;2825712.903;; ; ; ; ; ; ; 
32; Paradero Final De Combis;CL32_PP_028;-16.34803;-71.660088;-1933546.578;2824952.301;; ; ; ; ; ; ; 
32; Avenida;CL32_PP_029;-16.343659;-71.656898;-1933073.253;2825370.342;; ; ; ; ; ; ; 
32; Avenida;CL32_PP_030;-16.345966;-71.654691;-1933371.612;2825590.693;; ; ; ; ; ; ; 
32; Avenida;CL32_PP_031;-16.348645;-71.654112;-1933693.334;2825621.699;; ; ; ; ; ; ; 
32; Pronohi Zona 0;CL32_PP_032;-16.364559;-71.647271;-1935646.971;2826191.257;; ; ; ; ; ; ; 
32; Consorcio Sector Ii;CL32_PP_033;-16.35783;-71.642119;-1934921.37;2826862.278;; ; ; ; ; ; ; 
32;Local Social Asc. De Vivienda Ciudad Nueva;CL32_PP_034;-16.2919809;-71.65722023;-1927002.415;2826000.415;;;;;;;;
32;Cancha Sintetica Sector 5 Y 6 Asojac;CL32_PP_035;-16.34436969;-71.65249288;-1933211.64;2825860.475;;;;;;;;
32;Local Social Consorcio;CL32_PP_036;-16.36607679;-71.64556782;-1935846.435;2826364.649;;;;;;;;
32;Local Social Consorcio Zn 2;CL32_PP_037;-16.35719865;-71.64050001;-1934867.476;2827053.956;;;;;;;;
