cluster;name_point;code_point;lat;long;y_proj;x_proj;;;;;;;
34; La Colina Villa Mirador El Morro Cancha De Futbol;CL34_PP_001;-16.33518;-72.170344;-1925769.805;2767362.003; ; ; ; ; ; ; 
34; La Colina Tecnico Agropecuario;CL34_PP_002;-16.343843;-72.1769;-1926704.505;2766512.402; ; ; ; ; ; ; 
34; Estadio_La_Colina;CL34_PP_003;-16.347688;-72.17885;-1927130.966;2766243.806; ; ; ; ; ; ; 
34; Ovalo;CL34_PP_004;-16.349766;-72.185422;-1927294.642;2765475.028; ; ; ; ; ; ; 
34; Losa_Deportiva_Modulo_A;CL34_PP_005;-16.345928;-72.186035;-1926837.996;2765453.857; ; ; ; ; ; ; 
34; Modulo A Secto 3 (Movil);CL34_PP_006;-16.34237;-72.185546;-1926427.456;2765553.707; ; ; ; ; ; ; 
34; Modulo A Sector 4 Colegio Ninhos Alegres (Movil);CL34_PP_007;-16.342255;-72.190452;-1926354.65;2765000.697; ; ; ; ; ; ; 
34; Parque_Pag;CL34_PP_008;-16.338673;-72.192809;-1925906.893;2764779.185; ; ; ; ; ; ; 
34; Loza Deportiva Del Sector 3;CL34_PP_009;-16.332992;-72.189866;-1925277.538;2765182.927; ; ; ; ; ; ; 
34; Losa_Deportiva_Modulo_A;CL34_PP_010;-16.334885;-72.183139;-1925580.457;2765919.518; ; ; ; ; ; ; 
34; Modulo A Sector 2;CL34_PP_011;-16.331412;-72.181773;-1925190.458;2766117.412; ; ; ; ; ; ; 
34; Ie_Coronel_Francisco_Bolognesi;CL34_PP_012;-16.328619;-72.184269;-1924833.35;2765870.273; ; ; ; ; ; ; 
34; Cunamas;CL34_PP_013;-16.324833;-72.180679;-1924433.593;2766323.453; ; ; ; ; ; ; 
34; Colegio_Madulo_B;CL34_PP_014;-16.321513;-72.18011;-1924051.852;2766429.335; ; ; ; ; ; ; 
34; Plaza Sivica;CL34_PP_015;-16.337457;-72.187969;-1925823.092;2765341.413; ; ; ; ; ; ; 
34; Loza Deportiva La Colina;CL34_PP_016;-16.340782;-72.174108;-1926379.999;2766866.337; ; ; ; ; ; ; 
34; Loza Deportiva;CL34_PP_017;-16.325336;-72.183891;-1924453.639;2765954.1; ; ; ; ; ; ; 
34; Avenida;CL34_PP_018;-16.338115;-72.171972;-1926093.665;2767141.197; ; ; ; ; ; ; 
34; Servicentro El Colono Sac;CL34_PP_019;-16.338941;-72.183112;-1926055.541;2765871.757; ; ; ; ; ; ; 
34; Mercado Los Palitos;CL34_PP_020;-16.324361;-72.177513;-1924416.625;2766687.226; ; ; ; ; ; ; 
34; Grifo Amaf Av.Diagonal;CL34_PP_021;-16.331828;-72.186067;-1925187.225;2765626.872; ; ; ; ; ; ; 
34; Ovalo;CL34_PP_022;-16.33613;-72.191899;-1925620.251;2764913.871; ; ; ; ; ; ; 
34;Cunamas Colina;CL34_PP_023;-16.33727872;-72.17041868;-1926014.575;2767327.251;;;;;;;
34;Loza Los Palitos;CL34_PP_024;-16.32506407;-72.17831967;-1924489.17;2766587.241;;;;;;;
34;Loza Deportiva Ie Inicial Ninhos Alegres;CL34_PP_025;-16.33885121;-72.1929889;-1925925.576;2764756.622;;;;;;;
34;Centro De Salud La Colina;CL34_PP_026;-16.34171256;-72.17427249;-1926486.935;2766836.079;;;;;;;
34;I.E. Belaunde Terry;CL34_PP_027;-16.34210447;-72.18366749;-1926419.105;2765769.337;;;;;;;
34;I.E La Inmaculada De La Colina;CL34_PP_028;-16.34298963;-72.17750826;-1926597.252;2766454.354;;;;;;;
34;Ovalo 2 De Mayo;CL34_PP_029;-16.34127327;-72.18870686;-1926260.85;2765210.221;;;;;;;
34;Municipalidad La Colina;CL34_PP_030;-16.34191747;-72.17517612;-1926499.982;2766731.379;;;;;;;
34;Iestp. Pedro P. Diaz;CL34_PP_031;-16.34502545;-72.1778959;-1926830.859;2766385.02;;;;;;;
34;Terminal Terrestre;CL34_PP_032;-16.34570442;-72.19064131;-1926756.098;2764936.09;;;;;;;
34;Mercado Metropolitano;CL34_PP_033;-16.34060167;-72.19513524;-1926104.505;2764492.138;;;;;;;
