cluster;name_point;code_point;lat;long;y_proj;x_proj;;;;;;;;;
36; Centro_Deportivo_Bernabeu;CL36_PP_001;-16.342699;-72.199024;-1926302.965;2764026.411;; ; ; ; ; ; ; ; 
36; Laive (Movil);CL36_PP_002;-16.349961;-72.207341;-1927052.343;2762995.648;; ; ; ; ; ; ; ; 
36; Cancha_Deportiva_El_Pelotero;CL36_PP_003;-16.345922;-72.194105;-1926739.667;2764541.934;; ; ; ; ; ; ; ; 
36; Parque Las Malvinas;CL36_PP_004;-16.350923;-72.191227;-1927359.815;2764804.511;; ; ; ; ; ; ; ; 
36; Parque_Futuro_Majes;CL36_PP_005;-16.354695;-72.189893;-1927817.446;2764907.982;; ; ; ; ; ; ; ; 
36; Talleres (Movil);CL36_PP_006;-16.357588;-72.191509;-1928136.492;2764689.101;; ; ; ; ; ; ; ; 
36; C.S. Sandrita Perez;CL36_PP_007;-16.361956;-72.190685;-1928657.708;2764727.445;; ; ; ; ; ; ; ; 
36; Parque Los Dinosaurios (Movil);CL36_PP_008;-16.364813;-72.194417;-1928946.91;2764269.914;; ; ; ; ; ; ; ; 
36; Plaza_Pedregal_Sur;CL36_PP_009;-16.378718;-72.198801;-1930521.22;2763600.158;; ; ; ; ; ; ; ; 
36; Losa_Deportivo_Pedregal_Sur;CL36_PP_010;-16.386779;-72.201776;-1931428.583;2763162.894;; ; ; ; ; ; ; ; 
36; Estadio San Juan El Alto (Movil);CL36_PP_011;-16.385051;-72.177065;-1931525.925;2765976.497;; ; ; ; ; ; ; ; 
36; San Juan El Alto;CL36_PP_012;-16.389645;-72.181793;-1932006.274;2765384.559;; ; ; ; ; ; ; ; 
36; Plaza_El_Cural;CL36_PP_013;-16.422529;-72.235704;-1935200.937;2758882.01;; ; ; ; ; ; ; ; 
36; Familia_Barrios;CL36_PP_014;-16.424746;-72.252557;-1935256.247;2756951.14;; ; ; ; ; ; ; ; 
36; Fundo_Don_Enrique_Ii;CL36_PP_015;-16.445145;-72.268996;-1937443.667;2754839.283;; ; ; ; ; ; ; ; 
36; Cancha Sintetica;CL36_PP_016;-16.38236168;-72.21476554;-1930754.34;2761750.859;; ; ; ; ; ; ; ; 
36; Losa Deportiva;CL36_PP_017;-16.384221;-72.199835;-1931152.731;2763414.283;; ; ; ; ; ; ; ; 
36; Losa Deportiva;CL36_PP_018;-16.37705;-72.198858;-1930325.316;2763614.645;; ; ; ; ; ; ; ; 
36; Parque;CL36_PP_019;-16.374473;-72.197333;-1930042.185;2763819.275;; ; ; ; ; ; ; ; 
36; Parque;CL36_PP_020;-16.368428;-72.194352;-1929370.793;2764231.922;; ; ; ; ; ; ; ; 
36; Mercado Triunfo 2000;CL36_PP_021;-16.364134;-72.192316;-1928892.877;2764515.832;; ; ; ; ; ; ; ; 
