"n_microred","microred","cluster","point_name","code_point","lat","long","y_proj","x_proj","type_point","estratategy","X","X.1","X.2","X.3","X.4","X.5"
2,"BUENOS AIRES DE CAYMA",4,"Capilla San Jose De Piro","CL04_PP_098",-16.3449966,-71.54617229,-1934615895,2837907388,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4,"Colegio Secundario Dean Valdivia","CL04_PP_099",-16.33099376,-71.54311528,-1933009378,2838436128,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4,"Parque San Lorenzo","CL04_PP_100",-16.34486741,-71.54862766,-1934569899,2837630587,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4,"Parque Infantil Virgen De Chapi","CL04_PP_101",-16.34050015,-71.5450587,-1934101692,2838092148,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4,"C.S. Buenos Aires","CL04_PP_102",-16.35121874,-71.54942006,-1935305999,2837458.14,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4,"Puesto De Salud Dean Valdivia","CL04_PP_103",-16.3333362,-71.54740583,-1933230713,2837919026,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4,"I.E.P. Maria Mazzarello","CL04_PP_104",-16.33069647,-71.54468029,-1932954821,2838262472,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4,"Local Social 11 De Mayo","CL04_PP_105",-16.31817022,-71.53669738,-1931583466,2839330744,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4,"Parque Del Ninho","CL04_PP_106",-16.31412523,-71.532501,-1931160903,2839859346,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4,"Parque Mujeres Con Esperanza","CL04_PP_107",-16.30711212,-71.53083409,-1930357901,2840139536,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4,"Mercado Virgen De Copabana","CL04_PP_108",-16.30823878,-71.53271797,-1930466.64,2839911173,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4,"Complejo Deportivo 1Ro De Junio Zn B","CL04_PP_109",-16.32409561,-71.53906972,-1932249793,2838984654,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4,"Parque (Sector Vii Enace)","CL04_PP_110",-16.32912667,-71.54333569,-1932787285,2838435385,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4,"Parque (Urb. Los Alamos Dean Valdivia)","CL04_PP_111",-16.33591046,-71.54983965,-1933502568,2837609528,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4,"Parque (Estrella 1)","CL04_PP_112",-16.33594009,-71.5529147,-1933467475,2837260368,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4,"Losa Deportiva Estrella 1","CL04_PP_113",-16.33944877,-71.55501426,-1933853276,2836976661,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4,"Parque (Av. Sol De Oro)","CL04_PP_114",-16.33964516,-71.55400142,-1933889048,2837088982,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4,"Cuna Jardin Happy Childrens","CL04_PP_115",-16.33373183,-71.54929003,-1933253.55,2837700172,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4,"Parque (Av. Sol De Oro Y Estrella 1)","CL04_PP_116",-16.34024466,-71.55482873,-1933949089,2836987363,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4,"Iglesia Adventista Del Septimo Dia Villa Continental","CL04_PP_117",-16.34391343,-71.55493211,-1934378727,2836927.97,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4,"Comedor Popular San Lorenzo 2","CL04_PP_118",-16.34462562,-71.54913061,-1934535184,2837576689,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4,"Cancha (Casimiro Cuadros I)","CL04_PP_119",-16.34655012,-71.55215,-1934723346,2837209.23,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4,"Estadio Buenos Aires","CL04_PP_120",-16.35028451,-71.55332131,-1935147289,2837027846,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4,"Parque Sanchez Trujillo","CL04_PP_121",-16.34594294,-71.54744955,-1934711024,2837750222,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4,"Capilla Upis Dean Valdivia","CL04_PP_122",-16.34898525,-71.5456906,-1935090472,2837910155,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4,"Parque Las Malvinas","CL04_PP_123",-16.34660731,-71.5466334,-1934799309,2837834149,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA
