"n_microred","microred","cluster","point_name","code_point","lat","long","y_proj","x_proj","type_point","strategy"
1,"FRANCISCO BOLOGNESI",5,"Local Social Asociacion Forestal Ecologico Los Jazmines De Cayma","CL05_PP_114",-16.2952098,-71.52206923,-1929069446,2841288.55,"Fixed","Propuesto"
1,"FRANCISCO BOLOGNESI",5,"Comedor Popular De Jazmines Zona B","CL05_PP_115",-16.29305114,-71.52089415,-1928830557,2841449.91,"Fixed","Propuesto"
1,"FRANCISCO BOLOGNESI",5,"Centro De Salud Rafael Belaunde","CL05_PP_116",-16.33207764,-71.54219926,-1933148195,2838525948,"Fixed","Propuesto"
1,"FRANCISCO BOLOGNESI",5,"Grifo Radio Azul","CL05_PP_117",-16.33312289,-71.5385549,-1933316717,2838925745,"Fixed","Propuesto"
1,"FRANCISCO BOLOGNESI",5,"Local Social Rafael Belaunde","CL05_PP_118",-16.33515552,-71.53947381,-1933543.96,2838795091,"Fixed","Propuesto"
1,"FRANCISCO BOLOGNESI",5,"Ceptro Jose Olaya","CL05_PP_119",-16.33983756,-71.54185831,-1934064.03,2838463758,"Fixed","Propuesto"
1,"FRANCISCO BOLOGNESI",5,"Iglesia Ave Maria","CL05_PP_120",-16.35666294,-71.54602576,-1935988.12,2837772274,"Fixed","Propuesto"
1,"FRANCISCO BOLOGNESI",5,"Iglesia Acequia Alta","CL05_PP_121",-16.36333616,-71.54107603,-1936834185,2838246763,"Fixed","Propuesto"
1,"FRANCISCO BOLOGNESI",5,"Grifo San Diego","CL05_PP_122",-16.32857246,-71.53635232,-1932809804,2839234736,"Fixed","Propuesto"
1,"FRANCISCO BOLOGNESI",5,"Sauna Talentos","CL05_PP_123",-16.32554293,-71.53648883,-1932452197,2839258.62,"Fixed","Propuesto"
1,"FRANCISCO BOLOGNESI",5,"Losa Deportiva Los Pioneros De Cayma Zn B","CL05_PP_124",-16.30517316,-71.52283462,-1930230428,2841072328,"Fixed","Propuesto"
1,"FRANCISCO BOLOGNESI",5,"Estadio Embajada De Japon","CL05_PP_125",-16.30883417,-71.5228601,-1930660231,2841021879,"Fixed","Propuesto"
1,"FRANCISCO BOLOGNESI",5,"Losa Deportiva Embajada De Japon Zn B","CL05_PP_126",-16.3098989,-71.52551917,-1930751962,2840706354,"Fixed","Propuesto"
1,"FRANCISCO BOLOGNESI",5,"Estadio Municipal De La Tomilla","CL05_PP_127",-16.36387143,-71.54468595,-1936851.69,2837830408,"Fixed","Propuesto"
1,"FRANCISCO BOLOGNESI",5,"Parque (P.T. La Tomilla)","CL05_PP_128",-16.36582522,-71.54465239,-1937081611,2837808779,"Fixed","Propuesto"
1,"FRANCISCO BOLOGNESI",5,"Parque Cooperativa Ingenieros","CL05_PP_129",-16.38469257,-71.54875431,-1939246205,2837097913,"Fixed","Propuesto"
1,"FRANCISCO BOLOGNESI",5,"Parque Santa Elisa","CL05_PP_130",-16.3815622,-71.54905904,-1938874685,2837104144,"Fixed","Propuesto"
1,"FRANCISCO BOLOGNESI",5,"Parque","CL05_PP_131",-16.38635076,-71.55114807,-1939410862,2836804891,"Fixed","Propuesto"
1,"FRANCISCO BOLOGNESI",5,"Parque Quinta Gamero","CL05_PP_132",-16.38811654,-71.54803417,-1939657435,2837134947,"Fixed","Propuesto"
1,"FRANCISCO BOLOGNESI",5,"Parque Jaime Munhoz Romero","CL05_PP_133",-16.3910261,-71.54958009,-1939979732,2836921745,"Fixed","Propuesto"
