name_point,cluster,code_point,lat,long,y_proj,x_proj
Losa Deportiva El Golazo De Los Diaz,26,CL26_PP_071,-16.31687506,-71.5951288,-1930699.71,2832719931
Parque V.R. Haya De La Torre,26,CL26_PP_072,-16.32406988,-71.58835993,-1931629308,2833394397
Minicomplejo Deportivo Ciudad Municipal Zn 7,26,CL26_PP_073,-16.3222753,-71.58740067,-1931430549,2833526432
Parque Juan Cayro B (Apipa I),26,CL26_PP_074,-16.32083206,-71.60728984,-1931012.42,2831289639
Local Social V.R. Haya De La Torre,26,CL26_PP_075,-16.32269032,-71.5887325,-1931462631,2833370016
I.E. Cristo Morado,26,CL26_PP_076,-16.319673,-71.5872689,-1931126578,2833575083
Estadio Ciudad Municipal Zn 8,26,CL26_PP_077,-16.31576808,-71.58828961,-1930655.21,2833509892
Parque Virgen De Chapi,26,CL26_PP_078,-16.31291294,-71.58632347,-1930344477,2833769.85
Losa Deportiva Virgen De Chapi,26,CL26_PP_079,-16.31297785,-71.58596424,-1930356593,2833809.75
Paradero De Colectivo Sor Ana,26,CL26_PP_080,-16.31322713,-71.58662871,-1930377.56,2833731162
Capilla Virgen De Chapi,26,CL26_PP_081,-16.31337025,-71.58520611,-1930412157,2833890654
Losa Deportiva La Brenha,26,CL26_PP_082,-16.32311706,-71.59847581,-1931390906,2832259563
Losa Md Cayarani,26,CL26_PP_083,-16.32287859,-71.59781901,-1931371112,2832337132
Losa Deportiva Ciudad Municipal Zn5,26,CL26_PP_084,-16.32319652,-71.59133868,-1931489482,2833067904
Parque Ciudad Municipal Zn 8,26,CL26_PP_085,-16.31498518,-71.58708611,-1930578313,2833656523
Cancha Sintetica El Estanquillo,26,CL26_PP_086,-16.3255705,-71.5864153,-1931829871,2833595488
