"n_microred","microred","cluster","point_name","code_point","lat","long","y_proj","x_proj","type_point","estratategy","X","X.1","X.2","X.3","X.4"
4,"PEDREGAL",34,"Cunamas Colina","CL34_PP_023",-16.33727872,-72.17041868,-1926014.575,2767327.251,"Fixed","Propuesto",NA,NA,NA,NA,NA
4,"PEDREGAL",34,"Loza Los Palitos","CL34_PP_024",-16.32506407,-72.17831967,-1924489.17,2766587.241,"Fixed","Propuesto",NA,NA,NA,NA,NA
4,"PEDREGAL",34,"Loza Deportiva Ie Inicial Ninhos Alegres","CL34_PP_025",-16.33885121,-72.1929889,-1925925.576,2764756.622,"Fixed","Propuesto",NA,NA,NA,NA,NA
4,"PEDREGAL",34,"Centro De Salud La Colina","CL34_PP_026",-16.34171256,-72.17427249,-1926486.935,2766836.079,"Fixed","Propuesto",NA,NA,NA,NA,NA
4,"PEDREGAL",34,"I.E. Belaunde Terry","CL34_PP_027",-16.34210447,-72.18366749,-1926419.105,2765769.337,"Fixed","Propuesto",NA,NA,NA,NA,NA
4,"PEDREGAL",34,"I.E La Inmaculada De La Colina","CL34_PP_028",-16.34298963,-72.17750826,-1926597.252,2766454.354,"Fixed","Propuesto",NA,NA,NA,NA,NA
4,"PEDREGAL",34,"Ovalo 2 De Mayo","CL34_PP_029",-16.34127327,-72.18870686,-1926260.85,2765210.221,"Fixed","Propuesto",NA,NA,NA,NA,NA
4,"PEDREGAL",34,"Municipalidad La Colina","CL34_PP_030",-16.34191747,-72.17517612,-1926499.982,2766731.379,"Fixed","Propuesto",NA,NA,NA,NA,NA
4,"PEDREGAL",34,"Iestp. Pedro P. Diaz","CL34_PP_031",-16.34502545,-72.1778959,-1926830.859,2766385.02,"Fixed","Propuesto",NA,NA,NA,NA,NA
4,"PEDREGAL",34,"Terminal Terrestre","CL34_PP_032",-16.34570442,-72.19064131,-1926756.098,2764936.09,"Fixed","Propuesto",NA,NA,NA,NA,NA
4,"PEDREGAL",34,"Mercado Metropolitano","CL34_PP_033",-16.34060167,-72.19513524,-1926104.505,2764492.138,"Fixed","Propuesto",NA,NA,NA,NA,NA
