"n_microred","microred","cluster","point_name","code_point","lat","long","y_proj","x_proj","type_point","estratategy","X","X.1","X.2","X.3","X.4","X.5"
2,"BUENOS AIRES DE CAYMA",4," Iglesia_Biblica_Bautista_Jesus_El_Salvador","CL04_PP_001",-16.354861,-71.551489,-1935707848,2837176138,"Mobile","Establecido",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4," Plaza_De_Buenos_Aires","CL04_PP_002",-16.354346,-71.550429,-1935660665,2837303047,"Mobile","Establecido",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4," Estudio_De_Escultura_Profesional","CL04_PP_003",-16.353184,-71.551294,-1935513314,2837220061,"Mobile","Establecido",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4," Cruce_Av_Aviacion","CL04_PP_004",-16.352294,-71.555051,-1935361611,2836805561,"Mobile","Establecido",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4," Parque_Del_Ninho","CL04_PP_005",-16.350982,-71.554607,-1935213078,2836872.97,"Mobile","Establecido",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4," Posta_Medica_San_Jose","CL04_PP_006",-16.348122,-71.554429,-1934879378,2836930334,"Mobile","Establecido",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4," Parque_Villa_Continental","CL04_PP_007",-16.346623,-71.554483,-1934702628,2836943693,"Mobile","Establecido",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4," Cancha_Villa_Continental","CL04_PP_008",-16.345467,-71.553448,-1934579832,2837076098,"Mobile","Establecido",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4," Colegio_Casimiro_Cuadros","CL04_PP_009",-16.348512,-71.552012,-1934955523,2837199378,"Mobile","Establecido",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4," Losa_Deportiva_La_Chaqui","CL04_PP_010",-16.350454,-71.552177,-1935181561,2837155418,"Mobile","Establecido",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4," Mercado_De_Alto_Cayma","CL04_PP_011",-16.349943,-71.549315,-1935157467,2837486644,"Mobile","Establecido",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4," Ie_El_Gran_Heroe_Andres_Avelino_Caceres","CL04_PP_012",-16.352038,-71.546911,-1935433738,2837732042,"Mobile","Establecido",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4," Iglesia_Evangelica_Pentecostal_Arequipa","CL04_PP_013",-16.349962,-71.545908,-1935202476,2837872796,"Mobile","Establecido",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4," Parque_Los_Angeles","CL04_PP_014",-16.348256,-71.549435,-1934957.8,2837494.97,"Mobile","Establecido",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4," Cancha_Ramiro_Priale","CL04_PP_015",-16.346627,-71.549836,-1934761419,2837470669,"Mobile","Establecido",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4," Complejo_Deportivo_Casimiro_Cuadros_II","CL04_PP_016",-16.347361,-71.547978,-1934870961,2837671.85,"Mobile","Establecido",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4," Cancha_De_Fulbito_Las_Malvinas","CL04_PP_017",-16.345824,-71.546739,-1934705972,2837832357,"Mobile","Establecido",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4," Parque_San_Jose_De_Piro","CL04_PP_018",-16.345147,-71.54549,-1934642128,2837982817,"Mobile","Establecido",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4," Parque_Ala_De_Angel","CL04_PP_019",-16.342415,-71.546508,-1934308432,2837902875,"Mobile","Establecido",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4," Parque_Virgen_De_La_Candelaria","CL04_PP_020",-16.344073,-71.547974,-1934484788,2837715051,"Mobile","Establecido",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4," Comedor_Popular_Santa_Rosa_De_Lima","CL04_PP_021",-16.345365,-71.549878,-1934612654,2837482311,"Mobile","Establecido",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4," Losa_Deportiva_Santa_Rosa","CL04_PP_022",-16.344538,-71.551074,-1934500502,2837357417,"Mobile","Establecido",NA,NA,NA,NA,NA,NA
2,"BUENOS AIRES DE CAYMA",4," Losa_Deportiva_Cesar_Vallejo","CL04_PP_023",-16.34311,-71.551875,-1934322714,2837285131,"Mobile","Establecido",NA,NA,NA,NA,NA,NA
