"cluster","name_point","code_point","lat","long","y_proj","x_proj"
22," Minimarket_Mary","CL22_PP_001",-16.343855,-71.55663,-1934350562,2836736168
22," Punto 1 (Referencial)","CL22_PP_002",-16.345144,-71.557951,-1934485394,2836569604
22," Parque_Dj_Micky","CL22_PP_003",-16.346809,-71.557847,-1934682266,2836559764
22," Punto 2 (Referencial)","CL22_PP_004",-16.348816,-71.557275,-1934925.18,2836598552
22," Parque_Pocho","CL22_PP_005",-16.349751,-71.557365,-1935033874,2836576194
22," Punto 3 (Referencial)","CL22_PP_006",-16.349978,-71.558247,-1935049469,2836473219
22," Punto 4 (Referencial)","CL22_PP_007",-16.351204,-71.557388,-1935204251,2836554.7
22," Punto 5 (Referencial)","CL22_PP_008",-16.352805,-71.557789,-1935387267,2836488414
22," Punto 6 (Referencial)","CL22_PP_009",-16.351157,-71.55947,-1935172603,2836319201
22," Punto 7 (Referencial)","CL22_PP_010",-16.348796,-71.560558,-1934881639,2836226498
22," Punto 8 (Referencial)","CL22_PP_011",-16.347909,-71.561228,-1934769051,2836162041
22," Punto 9 (Referencial)","CL22_PP_012",-16.349709,-71.563423,-1934952934,2835889732
22," Punto 10 (Referencial)","CL22_PP_013",-16.35088,-71.562376,-1935103607,2835993249
22," Colegio_Anglicano_San_Lucas","CL22_PP_014",-16.354243,-71.557393,-1935561.14,2836514629
22," Mirador_Turistico_Zamacola","CL22_PP_015",-16.3531,-71.560016,-1935393968,2836232.03
22," IEP_Virgen_Morena","CL22_PP_016",-16.354142,-71.561694,-1935495299,2836028198
22," Grifo_Zamacola","CL22_PP_017",-16.355091,-71.563634,-1935582418,2835795868
22," Punto 11 (Referencial)","CL22_PP_018",-16.353504,-71.563926,-1935392357,2835783.38
22," Punto 12 (Referencial)","CL22_PP_019",-16.351722,-71.565955,-1935157604,2835576445
22," Plaza_Zamacola","CL22_PP_020",-16.353704,-71.567393,-1935372353,2835387627
22," Parque_El_Cortijo","CL22_PP_021",-16.360636,-71.559905,-1936280499,2836146646
22," Fundo_Campo_Verde","CL22_PP_022",-16.365121,-71.554495,-1936875223,2836701.79
22," IEP_Luiz_Francisco_Fontes","CL22_PP_023",-16.366927,-71.56032,-1937014188,2836017.77
22," Parque_Campo_Verde","CL22_PP_024",-16.366433,-71.563224,-1936919702,2835694906
22," Parque_Bello_Horizonte","CL22_PP_025",-16.365033,-71.562912,-1936759187,2835748491
22," Sede_Instituto_Agrario_Del_Sur","CL22_PP_026",-16.365811,-71.567851,-1936788562,2835178.34
22," Colegio_Futura_Schools","CL22_PP_027",-16.363107,-71.565811,-1936496586,2835444.81
22," Colegio_Brunig","CL22_PP_028",-16.358619,-71.565436,-1935974176,2835545673
22," Grupo_Beiker_Peru","CL22_PP_029",-16.35479,-71.567966,-1935492716,2835308541
22," Dir_Arequipa","CL22_PP_030",-16.352683,-71.571116,-1935205742,2834978714
22," Punto 13 (Referencial)","CL22_PP_031",-16.351069,-71.572355,-1935000645,2834859179
22," IE_Libertadores_De_America","CL22_PP_032",-16.350983,-71.574674,-1934961469,2834597331
22," Fuerte_Coronel_Bolognesi","CL22_PP_033",-16.346739,-71.575018,-1934458716,2834613424
22," Terminal_Pesquero_Rio_Seco","CL22_PP_034",-16.344312,-71.579408,-1934118663,2834147109
22," Punto 14 (Referencial)","CL22_PP_035",-16.349258,-71.578748,-1934707809,2834157758
22," Fundo_San _Antonio","CL22_PP_036",-16.363072,-71.57468,-1936381184,2834439.62
22," Campo_Santo_Jardin_De_Arequipa","CL22_PP_037",-16.368674,-71.576207,-1937019941,2834193681
22," Granja_De_Gallos","CL22_PP_038",-16.362282,-71.582527,-1936189988,2833560.16
22," Encantos_De_Arequipa","CL22_PP_039",-16.358008,-71.579633,-1935724336,2833943801
22," La_Chacrita","CL22_PP_040",-16.351135,-71.580724,-1934903483,2833909.33
22," Terminal_De_Productores_Rio_Seco","CL22_PP_041",-16.347287,-71.582045,-1934435014,2833809481
22," Plaza_Norte","CL22_PP_042",-16.342038,-71.583684,-1933798033,2833691.73
22," Punto 15 (Referencial)","CL22_PP_043",-16.343354,-71.586468,-1933917717,2833358969
22," Punto 16 (Referencial)","CL22_PP_044",-16.342465,-71.588018,-1933793903,2833194.74
22," Punto 17 (Referencial)","CL22_PP_045",-16.341795,-71.588886,-1933704351,2833105004
22," Parque_Asoc_Villalobos_Ampuero2","CL22_PP_046",-16.344289,-71.589168,-1933993709,2833040685
22," Punto 18 (Referencial)","CL22_PP_047",-16.345815,-71.589349,-1934170652,2833000369
22," Punto 19 (Referencial)","CL22_PP_048",-16.34606,-71.591528,-1934172137,2832750118
22," Punto 20 (Referencial)","CL22_PP_049",-16.34747,-71.585786,-1934409638,2833382908
22," Punto 21 (Referencial)","CL22_PP_050",-16.351593,-71.590317,-1934837074,2832815658
22," Punto 22 (Referencial)","CL22_PP_051",-16.352074,-71.59245,-1934866842,2832567.57
22," Punto 23 (Referencial)","CL22_PP_052",-16.353861,-71.594629,-1935049403,2832297.33
22," Punto 24 (Referencial)","CL22_PP_053",-16.358134,-71.59694,-1935522.24,2831979.88
22," Paradero_El_Paneton","CL22_PP_054",-16.35858,-71.600685,-1935527707,2831549508
22," Punto 25 (Referencial)","CL22_PP_055",-16.363596,-71.600764,-1936115731,2831475478
22," Pozas_De_Oxidacion_Curtiembres","CL22_PP_056",-16.362922,-71.604337,-1935991834,2831079158
22," Taller_De_Arenado","CL22_PP_057",-16.365428,-71.60898,-1936227.95,2830520299
22," Punto 26 (Referencial)","CL22_PP_058",-16.366009,-71.614398,-1936228335,2829898578
22," Punto 27 (Referencial)","CL22_PP_059",-16.368413,-71.61396,-1936516089,2829917053
22," Punto 28 (Referencial)","CL22_PP_060",-16.368619,-71.617436,-1936496759,2829520358
22," Paradero_De_Combis_El_Sillar","CL22_PP_061",-16.372045,-71.620977,-1936854.69,2829074554
22," Losa_Deportiva_Villa_Arapa","CL22_PP_062",-16.357396,-71.60477,-1935337524,2831101.74
22," Parque_Villa_Arapa","CL22_PP_063",-16.356046,-71.609957,-1935114074,2830531194
22," Punto 29 (Referencial)","CL22_PP_064",-16.354548,-71.609026,-1934949827,2830656159
22," Losa_Deportiva_Argentina_II","CL22_PP_065",-16.353388,-71.607866,-1934828134,2830802706
22," Punto 30 (Referencial)","CL22_PP_066",-16.350728,-71.605502,-1934545.37,2831105.2
22," Punto 31 (Referencial)","CL22_PP_067",-16.351627,-71.603807,-1934672151,2831285718
22," Punto 32 (Referencial)","CL22_PP_068",-16.35257,-71.602209,-1934802887,2831454667
22," Punto 33 (Referencial)","CL22_PP_069",-16.354913,-71.599749,-1935108.82,2831703189
22," Punto 34 (Referencial)","CL22_PP_070",-16.35375,-71.598397,-1934989.18,2831871558
22," Losa_Deportiva_Peru_Vivienda_III_1","CL22_PP_071",-16.351966,-71.59743,-1934791793,2832004333
22," Punto 35 (Referencial)","CL22_PP_072",-16.350682,-71.596508,-1934652557,2832125521
22," Punto 36 (Referencial)","CL22_PP_073",-16.348964,-71.597163,-1934442609,2832073535
22," Punto 37 (Referencial)","CL22_PP_074",-16.348693,-71.599248,-1934384683,2831840648
22," Punto 38 (Referencial)","CL22_PP_075",-16.347403,-71.600969,-1934211658,2831662243
22," Punto 39 (Referencial)","CL22_PP_076",-16.347088,-71.598389,-1934206961,2831958852
22," Punto 40 (Referencial)","CL22_PP_077",-16.345488,-71.598876,-1934012976,2831924376
22," Cancha_Sintetica_Bi_Nacional","CL22_PP_078",-16.347093,-71.596087,-1934236365,2832219796
22," Losa_Deportiva_Peru_Vivienda_III_3","CL22_PP_079",-16.348866,-71.594932,-1934459034,2832327763
22," Punto 41 (Referencial)","CL22_PP_080",-16.345758,-71.594637,-1934097745,2832401514
22," Punto 42 (Referencial)","CL22_PP_081",-16.345173,-71.596384,-1934007177,2832211014
22," Punto 43 (Referencial)","CL22_PP_082",-16.343819,-71.5956,-1933857987,2832317462
22," Punto 44 (Referencial)","CL22_PP_083",-16.342831,-71.592563,-1933779.98,2832674632
22," Losa_Deportiva_Peruarbo_III","CL22_PP_084",-16.341698,-71.590714,-1933670073,2832898981
22," Punto 45 (Referencial)","CL22_PP_085",-16.34134,-71.593381,-1933594644,2832601209
22," Punto 46 (Referencial)","CL22_PP_086",-16.342109,-71.596919,-1933640668,2832190072
22," Punto 47 (Referencial)","CL22_PP_087",-16.342427,-71.599489,-1933645849,2831894547
22," Punto 48 (Referencial)","CL22_PP_088",-16.336458,-71.599583,-1932943726,2831961234
22," Punto 49 (Referencial)","CL22_PP_089",-16.334977,-71.600049,-1932763981,2831927581
22," Losa_Deportiva_Jlbyr_VI","CL22_PP_090",-16.33921,-71.602012,-1933236509,2831650161
22," Punto 50 (Referencial)","CL22_PP_091",-16.340784,-71.603095,-1933407794,2831506971
22," Punto 51 (Referencial)","CL22_PP_092",-16.343458,-71.602946,-1933723662,2831489218
22," Punto 52 (Referencial)","CL22_PP_093",-16.346176,-71.605114,-1934015703,2831208187
22," Punto 53 (Referencial)","CL22_PP_094",-16.34581,-71.606798,-1933951656,2831022
22," IEP_David_Ausubel","CL22_PP_095",-16.343805,-71.607708,-1933704835,2830944802
22," Punto 54 (Referencial)","CL22_PP_096",-16.348259,-71.606386,-1934244385,2831036976
22," Cancha_Sintetica_La_10","CL22_PP_097",-16.349286,-71.609774,-1934322.59,2830639552
22," Punto 55 (Referencial)","CL22_PP_098",-16.348496,-71.610744,-1934217691,2830539816
22," Punto 56 (Referencial)","CL22_PP_099",-16.352107,-71.613593,-1934606058,2830170033
22," Punto 57 (Referencial)","CL22_PP_100",-16.353832,-71.616474,-1934772565,2829821071
22," Punto 58 (Referencial)","CL22_PP_101",-16.354647,-71.614569,-1934892092,2830026474
22," IE_Luceritos_De_Dios","CL22_PP_102",-16.356687,-71.616466,-1935107892,2829784985
22," Punto 59 (Referencial)","CL22_PP_103",-16.357368,-71.613388,-1935226366,2830125096
22," Punto 60 (Referencial)","CL22_PP_104",-16.359949,-71.613929,-1935522654,2830030311
22," Losa_Deportiva_JLBYR_VII_","CL22_PP_105",-16.360579,-71.6163,-1935566955,2829753363
22," Punto 61 (Referencial)","CL22_PP_106",-16.35805,-71.617684,-1935252692,2829629246
22," Losa_Deportiva_JLBYR_XII","CL22_PP_107",-16.357978,-71.619292,-1935224121,2829447893
22," Punto 62 (Referencial)","CL22_PP_108",-16.358061,-71.621365,-1935207935,2829211822
22," Punto 63 (Referencial)","CL22_PP_109",-16.358645,-71.624945,-1935231728,2828798433
22," Punto 64 (Referencial)","CL22_PP_110",-16.360173,-71.624107,-1935421613,2828873631
22," Punto 65 (Referencial)","CL22_PP_111",-16.36154,-71.618406,-1935653439,2829502171
22," Punto 66 (Referencial)","CL22_PP_112",-16.36351,-71.617817,-1935892118,2829543405
22," Losa_Deportiva_Virgen_De_Copacabana_I","CL22_PP_113",-16.364182,-71.618838,-1935958243,2829418956
22," Punto 67 (Referencial)","CL22_PP_114",-16.366275,-71.620392,-1936184543,2829215671
22," Punto 68 (Referencial)","CL22_PP_115",-16.361436,-71.629432,-1935503305,2828253658
22," Losa_Deportiva_Las_Lomas","CL22_PP_116",-16.363037,-71.628695,-1935700492,2828316461
22," Cancha_Sintetica_Los_Monchos","CL22_PP_117",-16.364373,-71.628665,-1935857725,2828302554
22," Estadio_Nueva_Espernaza","CL22_PP_118",-16.367599,-71.632994,-1936182334,2827770079
22," Parque Divino Ninho","CL22_PP_119",-16.350982,-71.558627,-1935162627,2836417076
22," Parque Belaunde","CL22_PP_120",-16.348651,-71.559309,-1934880278,2836370026
22," Parque","CL22_PP_121",-16.346949,-71.558747,-1934687418,2836455877
22," Parque","CL22_PP_122",-16.346208,-71.559417,-1934591977,2836389522
22," Victor Andres Belaunde","CL22_PP_123",-16.347409,-71.56074,-1934716445,2836223.88
22," A.H Victor Andres Belaunde Diez Canseco Zona B","CL22_PP_124",-16.34857,-71.562139,-1934835261,2836050141
22," A.H Victor Andres Belaunde Diez Canseco Zona B","CL22_PP_125",-16.348997,-71.563863,-1934863788,2835849084
22," A.H Victor Andres Belaunde Diez Canseco Zona B","CL22_PP_126",-16.350307,-71.562749,-1935031626,2835958396
22," Estadio Victor Andres Belaunde","CL22_PP_127",-16.350206,-71.560013,-1935054.09,2836269981
22," Parque Enrique Bolognesi","CL22_PP_128",-16.351898,-71.563527,-1935208734,2835849496
22," Loza","CL22_PP_129",-16.357435,-71.622592,-1935119087,2829080839
22," Loza","CL22_PP_130",-16.342544,-71.594492,-1933722129,2832459625
22," Parque Sector VI","CL22_PP_131",-16.335758,-71.599196,-1932866365,2832014185
