ident;lat;long;y_proj;x_proj
1.13.1.1;-16.44641747;-71.50080877;-1947101.815;2841727.131
1.13.1.2;-16.44616684;-71.50084406;-1947071.924;2841726.416
1.13.1.3;-16.44568;-71.50139579;-1947007.749;2841670.249
1.13.1.4;-16.44587266;-71.50106489;-1947034.569;2841705.238
1.13.1.5;-16.44498749;-71.50130227;-1946927.577;2841689.931
1.13.1.6;-16.44472874;-71.50127507;-1946897.524;2841696.407
1.13.1.7;-16.44454842;-71.50127615;-1946876.326;2841698.649
1.13.1.8;-16.44436349;-71.50139461;-1946853.101;2841687.643
1.13.1.9;-16.44060788;-71.49988589;-1946430.977;2841907.927
1.13.1.10;-16.44388863;-71.50267119;-1946781.166;2841549.14
1.13.1.11;-16.44359837;-71.50282452;-1946745.126;2841535.561
1.13.1.12;-16.44349791;-71.50299228;-1946731.202;2841517.859
1.13.1.13;-16.44261251;-71.50358629;-1946619.673;2841462.12
1.13.1.14;-16.44242231;-71.50358919;-1946597.291;2841464.284
1.13.1.15;-16.44234578;-71.50391958;-1946584.122;2841427.83
1.13.1.16;-16.44219545;-71.50404047;-1946564.932;2841416.094
1.13.1.17;-16.4421193;-71.50408945;-1946555.367;2841411.54
1.13.1.18;-16.44199438;-71.50416317;-1946539.759;2841404.819
1.13.1.19;-16.4417194;-71.50427135;-1946506.086;2841396.158
1.13.1.20;-16.4414329;-71.50439336;-1946470.885;2841386.08
1.13.1.21;-16.44124067;-71.50449238;-1946447.05;2841377.374
1.13.1.22;-16.43856889;-71.50246103;-1946158.864;2841642.691
1.13.1.23;-16.44053312;-71.50508606;-1946356.421;2841319.339
1.13.1.24;-16.44039428;-71.50513592;-1946339.48;2841315.506
1.13.1.25;-16.44021886;-71.50522289;-1946317.772;2841307.944
1.13.1.26;-16.44003257;-71.50531479;-1946294.725;2841299.967
1.13.1.27;-16.4398932;-71.5053488;-1946277.922;2841297.937
1.13.1.28;-16.43967201;-71.50540428;-1946251.236;2841294.546
1.13.1.29;-16.43929031;-71.50602877;-1946198.498;2841228.747
1.13.1.30;-16.43915441;-71.50613174;-1946181.231;2841218.852
1.13.1.31;-16.43902606;-71.50622145;-1946165.018;2841210.363
1.13.1.32;-16.43892222;-71.50632177;-1946151.551;2841200.35
1.13.1.33;-16.43880664;-71.50639832;-1946137.004;2841193.186
1.13.1.34;-16.43869962;-71.50647131;-1946123.509;2841186.313
1.13.1.35;-16.43859123;-71.50647974;-1946110.67;2841186.777
1.13.1.36;-16.43850694;-71.50656894;-1946099.639;2841177.769
1.13.1.37;-16.43816502;-71.50601192;-1946066.515;2841245.401
1.13.1.38;-16.43823277;-71.50617288;-1946072.438;2841226.264
1.13.1.39;-16.43828208;-71.50635322;-1946075.951;2841205.173
1.13.1.40;-16.43833711;-71.50649361;-1946080.64;2841188.535
1.13.1.41;-16.43838464;-71.50666623;-1946084.042;2841168.342
1.13.1.42;-16.43823872;-71.50674289;-1946065.93;2841161.562
1.13.1.43;-16.43813013;-71.50677414;-1946052.778;2841159.442
1.13.1.44;-16.43805067;-71.50682534;-1946042.796;2841154.678
1.13.1.45;-16.43798473;-71.50686717;-1946034.521;2841150.799
1.13.1.46;-16.43788282;-71.50691591;-1946021.932;2841146.609
1.13.1.47;-16.43781128;-71.50695866;-1946012.988;2841142.699
1.13.1.48;-16.43769193;-71.50695479;-1945999.015;2841144.701
1.13.1.49;-16.4376282;-71.50694953;-1945991.596;2841146.133
1.13.1.50;-16.4375113;-71.50660467;-1945982.223;2841186.762
1.13.1.51;-16.43720695;-71.50648787;-1945947.946;2841203.992
1.13.1.52;-16.43738841;-71.50689502;-1945964.115;2841155.455
