"unicode","P","D","L","V","lat","long","y_proj","x_proj"
"1.18.1.122A",1,18,"1","122A",-16.4365015749753,-71.5898508840588,-1944813.63225049,2831764.1654358
"1.18.1.226A",1,18,"1","226A",-16.4385126188753,-71.5882156735636,-1945070.35188444,2831923.24678382
"1.18.1.240A",1,18,"1","240A",-16.4387756799609,-71.5875911654684,-1945109.10122684,2831990.5862721
"1.18.1.252A",1,18,"1","252A",-16.4396189765835,-71.5878446569522,-1945204.93325128,2831950.86216015
"1.18.1.290A",1,18,"1","290A",-16.4402260859162,-71.5878197691685,-1945276.53506654,2831945.76433338
"1.18.1.293A",1,18,"1","293A",-16.4358692929133,-71.5895589338892,-1944743.06179611,2831805.49361855
"1.18.1.315A",1,18,"1","315A",-16.4357886985008,-71.5893621627167,-1944736.07412171,2831828.84301928
"1.18.1.9A",1,18,"1","9A",-16.4387288443693,-71.590449929597,-1945067.62411316,2831667.24005833
"1.18.1.138A",1,18,"1","138A",-16.4366441602989,-71.5893235244578,-1944837.01079833,2831822.06772741
"1.18.1.141A",1,18,"1","141A",-16.4369527600729,-71.5890341589369,-1944876.88862949,2831850.83537842
"1.18.1.169A",1,18,"1","169A",-16.43748480056,-71.5880382688826,-1944951.89498809,2831956.75403192
"1.18.1.299A",1,18,"1","299A",-16.4358951242876,-71.5898212782828,-1944742.79399488,2831775.42734917
"1.18.1.31A",1,18,"1","31A",-16.4380774307675,-71.5896661831008,-1945000.9967065,2831764.54852606
"1.18.1.33A",1,18,"1","33A",-16.4379738546207,-71.58955916948,-1944990.18125204,2831778.02598487
"1.18.1.90A",1,18,"1","90A",-16.4365828657975,-71.590516781572,-1944814.79877941,2831687.6450311
"1.18.1.64A",1,18,"1","64A",-16.4386068735766,-71.5903883918063,-1945054.07651701,2831675.80394285
"1.18.1.68A",1,18,"1","68A",-16.4374881502182,-71.5881467907254,-1944950.92258583,2831944.4124203
"1.18.1.73A",1,18,"1","73A",-16.4377845267186,-71.5880461429507,-1944986.99068693,2831951.95316053
"1.18.1.74A",1,18,"1","74A",-16.4378786651198,-71.5881079207306,-1944997.26723263,2831943.7247644
"1.18.1.99A",1,18,"1","99A",-16.4374719770095,-71.5905885314997,-1944918.29682731,2831667.92191443
"1.18.1.249A",1,18,"1","249A",-16.4394061820229,-71.5875402922037,-1945183.77713126,2831988.12834811
"1.18.1A.26A",1,18,"1A","26A",-16.4399401787967,-71.5875965723229,-1945245.77233724,2831974.78606596
"1.18.1A.39A",1,18,"1A","39A",-16.4401676803007,-71.586622709103,-1945284.74458778,2832082.17781699
"1.18.1A.40A",1,18,"1A","40A",-16.44011626305,-71.5864817829436,-1945280.48091758,2832098.81839423
"1.18.2.81A",1,18,"2","81A",-16.4407333025021,-71.5890086489919,-1945321.1297499,2831804.42549861
"1.18.2.57A",1,18,"2","57A",-16.4392293896305,-71.5891921102627,-1945142.22815703,2831803.24891077
"1.18.2.5A",1,18,"2","5A",-16.440747930143,-71.5898380230204,-1945312.40882344,2831710.25097429
"1.18.2.73A",1,18,"2","73A",-16.4401721466757,-71.5890680428318,-1945254.49014097,2831805.01352956
"1.18.2.5B",1,18,"2","5B",-16.440870900488,-71.5896529765644,-1945329.17715628,2831729.61646035
"1.18.2.6A",1,18,"2","6A",-16.4407191296692,-71.5899841688228,-1945307.18768634,2831694.0655357
"1.18.2.18A",1,18,"2","18A",-16.4403221120382,-71.5900285186735,-1945260.01115463,2831694.21744222
"1.18.2.25A",1,18,"2","25A",-16.4396266551378,-71.5901173471394,-1945177.23168689,2831693.22073384
"1.18.2.29A",1,18,"2","29A",-16.4391383432076,-71.5899312120903,-1945122.23578586,2831720.68120257
"1.18.3.12A",1,18,"3","12A",-16.4440597896308,-71.5771203237467,-1945861.43902062,2833108.22790887
"1.18.3.22A",1,18,"3","22A",-16.4430427090638,-71.5768847964307,-1945744.97062482,2833148.19506811
"1.18.3.28A",1,18,"3","28A",-16.4424217734486,-71.5773239416504,-1945666.52284827,2833106.53353442
"1.18.3.51A",1,18,"3","51A",-16.431808667826,-71.5713415442759,-1944495.54636908,2833923.02989519
"1.18.3.73A",1,18,"3","73A",-16.4286227205065,-71.5701733842106,-1944136.11215736,2834096.99695076
"1.18.3.9A",1,18,"3","9A",-16.4433286737357,-71.5767333562457,-1945780.45902299,2833161.62435086
"1.18.3.15A",1,18,"3","15A",-16.4437595816096,-71.5769881420158,-1945827.8508575,2833127.12605428
"1.18.3.15B",1,18,"3","15B",-16.4437018918457,-71.5769840420584,-1945821.12802376,2833128.34372101
"1.18.3.15C",1,18,"3","15C",-16.4436590223277,-71.5771355073057,-1945814.18589237,2833111.73856494
"1.18.3.15D",1,18,"3","15D",-16.4437342284235,-71.5771648693172,-1945822.64743197,2833107.42945343
"1.18.3.19A",1,18,"3","19A",-16.4433109732431,-71.5768880807665,-1945776.43142558,2833144.32123521
"1.18.3.23A",1,18,"3","23A",-16.4429226460526,-71.5770661986204,-1945728.58664378,2833129.2047812
"1.18.3.23B",1,18,"3","23B",-16.4429686662708,-71.5771632617271,-1945732.76813785,2833117.60440977
"1.18.3.23C",1,18,"3","23C",-16.4431134846505,-71.5771411464014,-1945750.05266201,2833118.22036802
"1.18.3.36A",1,18,"3","36A",-16.4412115864587,-71.5777600835127,-1945518.91793047,2833072.90211949
"1.18.3.40A",1,18,"3","40A",-16.4399588532619,-71.576847278746,-1945383.30616536,2833192.69633344
"1.18.3.40B",1,18,"3","40B",-16.4398619710911,-71.5768390136639,-1945372.03336614,2833194.8973563
"1.18.3.40C",1,18,"3","40C",-16.4397706660547,-71.576819852464,-1945361.5527192,2833198.26042107
"1.18.3.46A",1,18,"3","46A",-16.43760341,-71.57539252,-1945125.02606712,2833388.30146702
"1.18.4.86A",1,18,"4","86A",-16.4414839072443,-71.5780304895562,-1945547.49067884,2833038.7041293
"1.18.4.231A",1,18,"4","231A",-16.4423657161381,-71.5810579161456,-1945612.91267575,2832684.11542439
"1.18.4.137A",1,18,"4","137A",-16.4400565448579,-71.5795006219724,-1945361.36280171,2832890.72704834
"1.18.4.18A",1,18,"4","18A",-16.443267657718,-71.5772484161972,-1945766.80590418,2833104.05165307
"1.18.4.46A",1,18,"4","46A",-16.4423712430417,-71.5783565800568,-1945647.58255946,2832990.16922317
"1.18.4.133A",1,18,"4","133A",-16.4403309183803,-71.5793272628374,-1945395.76515121,2832906.79284709
"1.18.4.177A",1,18,"4","177A",-16.4426318795336,-71.5794845832144,-1945663.98178159,2832858.93751314
"1.18.4.213A",1,18,"4","213A",-16.4426299255301,-71.5798854803666,-1945658.70331608,2832813.53185978
"1.18.4.7A",1,18,"4","7A",-16.4435545181395,-71.5773897524063,-1945798.71139314,2833084.29044846
"1.18.4.12A",1,18,"4","12A",-16.4432688396703,-71.5775052817827,-1945763.70912859,2833074.92700665
