UNICODE;P;D;L;V;lat;long;y_proj;x_proj
6.92.17.A1-1;6;92;17;A1-1;-16.32537;-72.19623;-1924308.511;2764559.049
6.92.17.A1-2;6;92;17;A1-2;-16.32532;-72.19629;-1924301.934;2764552.893
6.92.17.A1-3;6;92;17;A1-3;-16.32519;-72.19615;-1924288.41;2764570.342
6.92.17.A1-4;6;92;17;A1-4;-16.32512;-72.1961;-1924280.821;2764576.869
6.92.17.A1-5;6;92;17;A1-5;-16.32504;-72.19603;-1924272.303;2764585.782
6.92.17.A1-6;6;92;17;A1-6;-16.32497;-72.19599;-1924264.593;2764591.178
6.92.17.A1-7;6;92;17;A1-7;-16.32492;-72.19592;-1924259.586;2764599.715
6.92.17.A1-8;6;92;17;A1-8;-16.3252;-72.19634;-1924287.285;2764548.743
6.92.17.A2-1;6;92;17;A2-1;-16.32556;-72.19599;-1924333.649;2764583.797
6.92.17.A2-2;6;92;17;A2-2;-16.32547;-72.19592;-1924323.961;2764592.835
6.92.17.A2-3;6;92;17;A2-3;-16.3254;-72.19587;-1924316.372;2764599.362
6.92.17.A2-4;6;92;17;A2-4;-16.32532;-72.19581;-1924307.733;2764607.144
6.92.17.A2-5;6;92;17;A2-5;-16.32526;-72.19576;-1924301.314;2764613.545
6.92.17.A2-6;6;92;17;A2-6;-16.32516;-72.19569;-1924290.455;2764622.708
6.92.17.A2-7;6;92;17;A2-7;-16.32527;-72.19555;-1924305.021;2764637.155
6.92.17.A2-8;6;92;17;A2-8;-16.32536;-72.19562;-1924314.71;2764628.118
6.92.17.A2-9;6;92;17;A2-9;-16.32542;-72.19566;-1924321.249;2764622.846
6.92.17.A2-10;6;92;17;A2-10;-16.3255;-72.19572;-1924329.888;2764615.064
6.92.17.A2-11;6;92;17;A2-11;-16.32557;-72.19578;-1924337.356;2764607.407
6.92.17.A2-12;6;92;17;A2-12;-16.32567;-72.19585;-1924348.215;2764598.244
6.92.17.A3-1;6;92;17;A3-1;-16.32564;-72.19528;-1924351.59;2764663.042
6.92.17.A4-1;6;92;17;A4-1;-16.32617;-72.19519;-1924414.711;2764666.583
6.92.17.A5-1;6;92;17;A5-1;-16.32684;-72.19345;-1924514.153;2764854.859
6.92.17.A5-2;6;92;17;A5-2;-16.32675;-72.19346;-1924503.499;2764854.855
6.92.17.A5-3;6;92;17;A5-3;-16.32666;-72.19347;-1924492.844;2764854.851
6.92.17.A5-4;6;92;17;A5-4;-16.32657;-72.19349;-1924482.068;2764853.717
6.92.17.A5-5;6;92;17;A5-5;-16.32645;-72.1935;-1924467.902;2764854.088
6.92.17.A5-6;6;92;17;A5-6;-16.32649;-72.19365;-1924470.771;2764836.634
6.92.17.A5-7;6;92;17;A5-7;-16.32649;-72.1938;-1924468.959;2764819.681
6.92.17.A5-8;6;92;17;A5-8;-16.32658;-72.19376;-1924479.976;2764823.076
6.92.17.A5-9;6;92;17;A5-9;-16.32666;-72.19368;-1924490.306;2764831.116
6.92.17.A5-10;6;92;17;A5-10;-16.32676;-72.19366;-1924502.252;2764832.126
6.92.17.A5-11;6;92;17;A5-11;-16.32686;-72.19363;-1924514.319;2764834.265
6.92.17.A6-1;6;92;17;A6-1;-16.32756;-72.19336;-1924599.514;2764856.022
6.92.17.A6-2;6;92;17;A6-2;-16.32747;-72.19338;-1924588.738;2764854.888
6.92.17.A6-3;6;92;17;A6-3;-16.32738;-72.1934;-1924577.962;2764853.753
6.92.17.A6-4;6;92;17;A6-4;-16.32729;-72.19341;-1924567.307;2764853.749
6.92.17.A6-5;6;92;17;A6-5;-16.3272;-72.19342;-1924556.652;2764853.745
6.92.17.A6-6;6;92;17;A6-6;-16.32712;-72.19344;-1924547.047;2764852.486
6.92.17.A6-7;6;92;17;A6-7;-16.32703;-72.19345;-1924536.392;2764852.482
6.92.17.A6-8;6;92;17;A6-8;-16.32707;-72.19363;-1924538.899;2764831.637
6.92.17.A6-9;6;92;17;A6-9;-16.32718;-72.19363;-1924551.774;2764830.261
6.92.17.A6-10;6;92;17;A6-10;-16.3273;-72.19363;-1924565.819;2764828.759
6.92.17.A6-11;6;92;17;A6-11;-16.3274;-72.19367;-1924577.041;2764822.987
6.92.17.A6-12;6;92;17;A6-12;-16.32745;-72.19354;-1924584.464;2764837.054
6.92.17.A7-1;6;92;17;A7-1;-16.32829;-72.19439;-1924672.511;2764730.475
6.92.17.A7-2;6;92;17;A7-2;-16.32827;-72.1943;-1924671.257;2764740.897
6.92.17.A7-3;6;92;17;A7-3;-16.32826;-72.19421;-1924671.175;2764751.194
6.92.17.A7-4;6;92;17;A7-4;-16.32824;-72.19412;-1924669.921;2764761.616
6.92.17.A7-5;6;92;17;A7-5;-16.32823;-72.19402;-1924669.959;2764773.043
6.92.17.A7-6;6;92;17;A7-6;-16.32822;-72.19393;-1924669.876;2764783.34
6.92.17.A7-7;6;92;17;A7-7;-16.32821;-72.19384;-1924669.793;2764793.637
6.92.17.A7-8;6;92;17;A7-8;-16.32819;-72.19374;-1924668.661;2764805.19
6.92.17.A7-9;6;92;17;A7-9;-16.32818;-72.19365;-1924668.578;2764815.487
6.92.17.A7-10;6;92;17;A7-10;-16.32816;-72.19356;-1924667.324;2764825.909
6.92.17.A7-11;6;92;17;A7-11;-16.32815;-72.19347;-1924667.241;2764836.206
6.92.17.A7-12;6;92;17;A7-12;-16.32814;-72.19337;-1924667.279;2764847.634
6.92.17.A7-13;6;92;17;A7-13;-16.32812;-72.19328;-1924666.026;2764858.056
6.92.17.A7-14;6;92;17;A7-14;-16.32811;-72.19319;-1924665.943;2764868.353
6.92.17.A7-15;6;92;17;A7-15;-16.32799;-72.1933;-1924650.568;2764857.422
6.92.17.A7-16;6;92;17;A7-16;-16.32797;-72.19346;-1924646.294;2764839.589
6.92.17.A7-17;6;92;17;A7-17;-16.32795;-72.19355;-1924642.866;2764829.667
6.92.17.A7-18;6;92;17;A7-18;-16.32793;-72.19364;-1924639.437;2764819.746
6.92.17.A7-19;6;92;17;A7-19;-16.32788;-72.19373;-1924632.497;2764810.199
6.92.17.A7-20;6;92;17;A7-20;-16.32774;-72.19381;-1924615.144;2764802.909
6.92.17.A7-21;6;92;17;A7-21;-16.32782;-72.19388;-1924623.662;2764793.997
6.92.17.A7-22;6;92;17;A7-22;-16.32795;-72.1939;-1924638.636;2764790.11
6.92.17.A7-23;6;92;17;A7-23;-16.328;-72.194;-1924643.28;2764778.182
6.92.17.A7-24;6;92;17;A7-24;-16.32804;-72.1941;-1924646.754;2764766.379
6.92.17.A7-25;6;92;17;A7-25;-16.32807;-72.1942;-1924649.057;2764754.702
6.92.17.A7-26;6;92;17;A7-26;-16.3281;-72.19431;-1924651.239;2764741.894
6.92.17.A7-27;6;92;17;A7-27;-16.32812;-72.19441;-1924652.372;2764730.342
6.92.17.A8-1;6;92;17;A8-1;-16.32844;-72.1955;-1924676.656;2764603.145
6.92.17.A8-2;6;92;17;A8-2;-16.32842;-72.19538;-1924675.765;2764616.958
6.92.17.A8-3;6;92;17;A8-3;-16.32841;-72.19529;-1924675.682;2764627.255
6.92.17.A8-4;6;92;17;A8-4;-16.32839;-72.1952;-1924674.428;2764637.677
6.92.17.A8-5;6;92;17;A8-5;-16.32838;-72.19511;-1924674.345;2764647.974
6.92.17.A8-6;6;92;17;A8-6;-16.32836;-72.19501;-1924673.213;2764659.526
6.92.17.A8-7;6;92;17;A8-7;-16.32835;-72.19492;-1924673.13;2764669.823
6.92.17.A8-8;6;92;17;A8-8;-16.32834;-72.19483;-1924673.047;2764680.12
6.92.17.A8-9;6;92;17;A8-9;-16.32832;-72.19474;-1924671.793;2764690.542
6.92.17.A8-10;6;92;17;A8-10;-16.32831;-72.19465;-1924671.71;2764700.839
6.92.17.A8-11;6;92;17;A8-11;-16.32814;-72.19469;-1924651.329;2764698.445
6.92.17.A8-12;6;92;17;A8-12;-16.32814;-72.19477;-1924650.363;2764689.404
6.92.17.A8-13;6;92;17;A8-13;-16.32814;-72.19489;-1924648.913;2764675.841
6.92.17.A8-14;6;92;17;A8-14;-16.32813;-72.195;-1924646.413;2764663.534
6.92.17.A8-15;6;92;17;A8-15;-16.32809;-72.1951;-1924640.523;2764652.733
6.92.17.A8-16;6;92;17;A8-16;-16.32806;-72.19518;-1924636.045;2764644.066
6.92.17.A8-17;6;92;17;A8-17;-16.32821;-72.19522;-1924653.119;2764637.669
6.92.17.A8-18;6;92;17;A8-18;-16.32827;-72.19535;-1924658.571;2764622.225
6.92.17.A9-1;6;92;17;A9-1;-16.32817;-72.19587;-1924640.583;2764564.706
6.92.17.A9-2;6;92;17;A9-2;-16.32808;-72.19588;-1924629.929;2764564.702
6.92.17.A9-3;6;92;17;A9-3;-16.32799;-72.1959;-1924619.153;2764563.567
6.92.17.A9-4;6;92;17;A9-4;-16.3279;-72.19591;-1924608.498;2764563.563
6.92.17.A9-5;6;92;17;A9-5;-16.32781;-72.19593;-1924597.723;2764562.429
6.92.17.A9-6;6;92;17;A9-6;-16.32772;-72.19594;-1924587.068;2764562.425
6.92.17.A9-7;6;92;17;A9-7;-16.32763;-72.19596;-1924576.292;2764561.29
6.92.17.A9-8;6;92;17;A9-8;-16.32754;-72.19597;-1924565.638;2764561.286
6.92.17.A9-9;6;92;17;A9-9;-16.32745;-72.19598;-1924554.983;2764561.282
6.92.17.A9-10;6;92;17;A9-10;-16.32737;-72.196;-1924545.378;2764560.023
6.92.17.A9-11;6;92;17;A9-11;-16.32734;-72.19581;-1924544.162;2764581.872
6.92.17.A9-12;6;92;17;A9-12;-16.32745;-72.19579;-1924557.278;2764582.756
6.92.17.A9-13;6;92;17;A9-13;-16.32754;-72.19576;-1924568.175;2764585.021
6.92.17.A9-14;6;92;17;A9-14;-16.32765;-72.19573;-1924581.412;2764587.035
6.92.17.A9-15;6;92;17;A9-15;-16.32771;-72.19564;-1924589.522;2764596.456
6.92.17.A9-16;6;92;17;A9-16;-16.32776;-72.19554;-1924596.582;2764607.132
6.92.17.A9-17;6;92;17;A9-17;-16.32783;-72.19561;-1924603.93;2764598.345
